task_id,task_label,family,study_role,partition_protocol,training_samples,evaluation_samples,training_positive,training_negative,evaluation_positive,evaluation_negative,source_score_columns
gue_emp_H3,GUE EMP-H3,GUE,Primary,Released train+dev versus test,13468,1497,6912,6556,755,742,53
gue_human_tf_0,GUE human-TF,GUE,Primary,Released train+dev versus test,33378,1000,16689,16689,500,500,53
gue_mouse_0,GUE mouse,GUE,Primary,Released train+dev versus test,7288,810,3644,3644,405,405,49
gue_prom_300_all,GUE promoter-300,GUE,Primary,Released train+dev versus test,53276,5920,26618,26658,2980,2940,53
gue_prom_core_all,GUE promoter-core,GUE,Primary,Released train+dev versus test,53276,5920,26630,26646,2968,2952,53
ipromoter_hs_notata,Human non-TATA,iPromoter,Primary,Deterministic stratified 70/15/15; train+dev versus test,44043,7774,22031,22012,3889,3885,53
ipromoter_hs_tata,Human TATA,iPromoter,Primary,Deterministic stratified 70/15/15; train+dev versus test,4967,878,2489,2478,440,438,53
ipromoter_mm_notata,Mouse non-TATA,iPromoter,Primary,Deterministic stratified 70/15/15; train+dev versus test,36423,6429,18232,18191,3218,3211,53
ipromoter_mm_tata,Mouse TATA,iPromoter,Primary,Deterministic stratified 70/15/15; train+dev versus test,5170,914,2622,2548,464,450,53
snnrice6ma_rice_chen,Rice 6mA,6mA,Primary,Deterministic stratified 70/15/15; train+dev versus test,1495,265,748,747,132,133,53
