source_name,source_tier,evidence,prediction_head,source_family
kmer13__logreg_l2_c1,Primitive,1-3-mer composition,Logistic L2 C=1,composition
kmer13__logreg_l2_c03,Primitive,1-3-mer composition,Logistic L2 C=0.3,composition
kmer46__logreg_l2_c1,Primitive,4-6-mer composition,Logistic L2 C=1,composition
kmer46__logreg_l2_c03,Primitive,4-6-mer composition,Logistic L2 C=0.3,composition
fcgr4__scaled_logreg_l2_c1,Primitive,Order-4 FCGR,Scaled logistic L2 C=1,composition
fcgr4__extratrees_300,Primitive,Order-4 FCGR,ExtraTrees 300,composition
basicpos__scaled_logreg_l2_c1,Primitive,Basic motif and position descriptors,Scaled logistic L2 C=1,motif_position
basicpos__extratrees_300,Primitive,Basic motif and position descriptors,ExtraTrees 300,motif_position
promoter_motif__scaled_logreg_l2_c1,Primitive,Promoter motif and position descriptors,Scaled logistic L2 C=1,motif_position
promoter_motif__extratrees_300,Primitive,Promoter motif and position descriptors,ExtraTrees 300,motif_position
cksnap5__scaled_logreg_l2_c1,Primitive,CKSNAP lag 5,Scaled logistic L2 C=1,physicochemical
cksnap5__extratrees_300,Primitive,CKSNAP lag 5,ExtraTrees 300,physicochemical
zcurve12__scaled_logreg_l2_c1,Primitive,Z-curve descriptors,Scaled logistic L2 C=1,physicochemical
zcurve12__extratrees_300,Primitive,Z-curve descriptors,ExtraTrees 300,physicochemical
eiip_auto__scaled_logreg_l2_c1,Primitive,EIIP autocorrelation,Scaled logistic L2 C=1,physicochemical
eiip_auto__extratrees_300,Primitive,EIIP autocorrelation,ExtraTrees 300,physicochemical
dinuc_auto__scaled_logreg_l2_c1,Primitive,Dinucleotide autocorrelation,Scaled logistic L2 C=1,physicochemical
dinuc_auto__extratrees_300,Primitive,Dinucleotide autocorrelation,ExtraTrees 300,physicochemical
center_context__scaled_logreg_l2_c1,Primitive,Centered sequence context,Scaled logistic L2 C=1,motif_position
center_context__extratrees_300,Primitive,Centered sequence context,ExtraTrees 300,motif_position
dnabert2__scaled_logreg_l2_c1,Primitive,DNABERT-2 embedding,Scaled logistic L2 C=1,foundation_db2
dnabert2__scaled_logreg_l2_c03,Primitive,DNABERT-2 embedding,Scaled logistic L2 C=0.3,foundation_db2
dnabert1_6mer_mean__linear,Primitive,DNABERT-1 mean embedding,Linear head,foundation_db1
dnabert1_6mer_cls__linear,Primitive,DNABERT-1 CLS embedding,Linear head,foundation_db1
nt_500m_human_ref_mean__linear,Primitive,Nucleotide Transformer mean embedding,Linear head,foundation_nt
nt_500m_human_ref_cls__linear,Primitive,Nucleotide Transformer CLS embedding,Linear head,foundation_nt
dnashaper_shape4__logreg_c1,Primitive,DNAshapeR four-track profile,Logistic L2 C=1,dna_shape
dnashaper_shape4__histgb,Primitive,DNAshapeR four-track profile,Histogram gradient boosting,dna_shape
dnashaper_ep__logreg_c1,Primitive,DNAshapeR electrostatic-potential profile,Logistic L2 C=1,dna_shape
dnashaper_all5__logreg_c03,Primitive,DNAshapeR five-track profile,Logistic L2 C=0.3,dna_shape
dnabert1_6mer__pool_interaction,Foundation interaction,DNABERT-1 pooling interaction,Interaction head,foundation_db1
nt_500m_human_ref__pool_interaction,Foundation interaction,Nucleotide Transformer pooling interaction,Interaction head,foundation_nt
dnabert2__pool_interaction,Foundation interaction,DNABERT-2 pooling interaction,Interaction head,foundation_db2
cross_foundation__attention_interaction,Foundation interaction,Cross-foundation attention interaction,Interaction head,foundation_cross
cross_foundation__anchor_residual,Foundation interaction,Cross-foundation anchor-relative interaction,Residual head,foundation_residual
aligned_score_anchor,Local or derived,Aligned evidence anchor,Regularized meta-head,derived_anchor
local_cross,Local or derived,Local cross-foundation evidence,Local fusion head,preclassifier_local
local_cross_db1,Local or derived,Local DNABERT-1 interaction,Local fusion head,preclassifier_local
local_cross_db1_nt,Local or derived,Local DNABERT-1 and Nucleotide Transformer interaction,Local fusion head,preclassifier_local
local_cross_nt,Local or derived,Local Nucleotide Transformer interaction,Local fusion head,preclassifier_local
local_cross_db1_nt_mean,Local or derived,Local cross-foundation mean interaction,Local fusion head,preclassifier_local
rc_multiscale_seed0,Sequence grammar,Reverse-complement multiscale grammar expert,Neural expert,sequence_grammar_rc
rc_multiscale_seed1,Sequence grammar,Reverse-complement multiscale grammar expert,Neural expert,sequence_grammar_rc
rc_multiscale_seed2,Sequence grammar,Reverse-complement multiscale grammar expert,Neural expert,sequence_grammar_rc
rc_multiscale_biophysical_seed3,Sequence grammar,Reverse-complement biophysical grammar expert,Neural expert,sequence_grammar_biophysical
rc_multiscale_biophysical_position_seed4,Sequence grammar,Reverse-complement position-aware grammar expert,Neural expert,sequence_grammar_position
