task_id,model,seed,best_epoch,validation_loss,auc,auprc,accuracy,balanced_accuracy,mcc,sensitivity,specificity,threshold
ipromoter_hs_tata,iPromoter-SeqVec,1,18,0.2256175071001052,0.989264,0.9889727911889798,0.926,0.926,0.8556287154019099,0.88,0.972,0.5
ipromoter_hs_tata,iPromoter-SeqVec,2,19,0.2048168629407882,0.989408,0.9885258602899536,0.94,0.94,0.8804509063256238,0.924,0.956,0.5
ipromoter_hs_tata,iPromoter-SeqVec,3,17,0.2146151626110077,0.993472,0.992542114406028,0.934,0.934,0.8738995090601929,0.876,0.992,0.5
ipromoter_hs_notata,iPromoter-SeqVec,1,3,0.506050018787384,0.86133872,0.8701297336556436,0.791,0.791,0.5838154059190372,0.7516,0.8304,0.5
ipromoter_hs_notata,iPromoter-SeqVec,2,4,0.5249064917564392,0.83533568,0.8483804774044221,0.753,0.753,0.5066135360073112,0.7776,0.7284,0.5
ipromoter_hs_notata,iPromoter-SeqVec,3,2,0.5193845927715302,0.8561901599999999,0.8604955066056628,0.7632,0.7632,0.5396207782129121,0.6532,0.8732,0.5
ipromoter_mm_tata,iPromoter-SeqVec,1,8,0.1591551959514618,0.992928,0.9929333511204571,0.95,0.95,0.9001800540180063,0.94,0.96,0.5
ipromoter_mm_tata,iPromoter-SeqVec,2,7,0.17503561019897462,0.9921119999999999,0.9920780254356938,0.94,0.94,0.8822898668584441,0.904,0.976,0.5
ipromoter_mm_tata,iPromoter-SeqVec,3,19,0.20221593230962753,0.9876480000000001,0.9871630942274708,0.92,0.9199999999999999,0.8438976815613619,0.872,0.968,0.5
ipromoter_mm_notata,iPromoter-SeqVec,1,4,0.45171720504760743,0.87190864,0.8825009324031474,0.7906,0.7906,0.5830876413535333,0.7504,0.8308,0.5
ipromoter_mm_notata,iPromoter-SeqVec,2,6,0.4236091067790985,0.89451424,0.9047581020707212,0.8212,0.8211999999999999,0.6427128973866642,0.8056,0.8368,0.5
ipromoter_mm_notata,iPromoter-SeqVec,3,5,0.45471749448776244,0.8765407999999999,0.8899835580318098,0.7916,0.7916,0.5844899197099336,0.8248,0.7584,0.5
