task_id,task_label,method,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
enhancer_recognition,Enhancer recognition,best_source,30,0.8201750000000001,0.8173569138892263,0.4614791034954486,0.73,0.73,0.69,0.77,0.4946653820574284
enhancer_recognition,Enhancer recognition,probability_mean,30,0.860375,0.8717158251014561,0.6056134944020144,0.8025,0.8025,0.78,0.825,0.568193060606718
enhancer_recognition,Enhancer recognition,probability_median,30,0.8535999999999999,0.8649988317011218,0.5655729327886581,0.7825,0.7825,0.76,0.805,0.54455791503191
enhancer_recognition,Enhancer recognition,rank_mean,30,0.8576249999999999,0.8691864309982,0.5855932135953362,0.7925,0.7925,0.77,0.815,0.5457758310871519
enhancer_recognition,Enhancer recognition,majority_vote,30,0.8423750000000001,0.8269357514173363,0.525079830303927,0.7575,0.7575000000000001,0.66,0.855,0.8333333333333334
enhancer_recognition,Enhancer recognition,oof_skill_linear_pool,30,0.86035,0.8713644387233722,0.6104885863818946,0.805,0.8049999999999999,0.785,0.825,0.5629994938848467
enhancer_recognition,Enhancer recognition,oof_skill_logarithmic_pool,30,0.861875,0.8731956721451531,0.6207764561589809,0.81,0.81,0.785,0.835,0.5798967401886359
enhancer_recognition,Enhancer recognition,dempster_shafer_pool,30,0.8334625,0.8006134694888931,0.6256337752086925,0.8125,0.8125,0.79,0.835,0.9987305589057934
enhancer_recognition,Enhancer recognition,reliability_attention,30,0.8660249999999999,0.8800270097629477,0.6150691991775802,0.8075,0.8075,0.8,0.815,0.5620244156967708
enhancer_recognition,Enhancer recognition,family_best_weighted_pool,30,0.865475,0.8819155664767021,0.6050680739877008,0.8025,0.8025,0.81,0.795,0.5045787380222062
enhancer_recognition,Enhancer recognition,correlation_pruned_weighted_pool,30,0.854725,0.8580827844235706,0.5850073126371123,0.7925,0.7925,0.795,0.79,0.5137604430847953
enhancer_recognition,Enhancer recognition,choquet_integral,30,0.8558,0.8599758697049367,0.5850073126371123,0.7925,0.7925,0.795,0.79,0.5432524978375641
enhancer_recognition,Enhancer recognition,raw_score_logistic_l2,30,0.8422999999999999,0.8415349750586192,0.5650070626324246,0.7825,0.7825,0.785,0.78,0.5020107969641685
enhancer_recognition,Enhancer recognition,aligned_score_logistic_l2,30,0.83795,0.8306014909524547,0.5450613228484247,0.7725,0.7725,0.78,0.765,0.48811924606561663
enhancer_recognition,Enhancer recognition,sparse_aligned_control,30,0.8373749999999999,0.8342063023586904,0.5301060318106038,0.765,0.765,0.775,0.755,0.482180555164814
enhancer_recognition,Enhancer recognition,mucff,30,0.8260750000000001,0.8214964925814074,0.49157556676689085,0.745,0.745,0.705,0.785,0.5108107119798659
enhancer_strength,Enhancer strength,best_source,30,0.7163,0.711486907913891,0.311263179013415,0.655,0.655,0.7,0.61,0.4867969772219658
enhancer_strength,Enhancer strength,probability_mean,30,0.9670000000000001,0.965212213284406,0.5619514869490164,0.74,0.74,1.0,0.48,0.47480474937323014
enhancer_strength,Enhancer strength,probability_median,30,0.9012,0.9126320972578384,0.5078007830046403,0.705,0.705,1.0,0.41,0.46537301659584046
enhancer_strength,Enhancer strength,rank_mean,30,0.8752,0.8836143869732624,0.5537985828807246,0.765,0.765,0.91,0.62,0.4422492699910153
enhancer_strength,Enhancer strength,majority_vote,30,0.79685,0.7791987715193224,0.5078007830046403,0.705,0.705,1.0,0.41,0.3333333333333333
enhancer_strength,Enhancer strength,oof_skill_linear_pool,30,0.9707,0.9690842417050484,0.5773502691896257,0.75,0.75,1.0,0.5,0.48577604541239944
enhancer_strength,Enhancer strength,oof_skill_logarithmic_pool,30,0.9894000000000001,0.9891497596387312,0.5310850045437944,0.72,0.72,1.0,0.44,0.43205267746362097
enhancer_strength,Enhancer strength,dempster_shafer_pool,30,0.9659,0.9381401243433403,0.6468691647559471,0.795,0.7949999999999999,1.0,0.59,0.5579676784164466
enhancer_strength,Enhancer strength,reliability_attention,30,0.9707,0.9690842417050484,0.5773502691896257,0.75,0.75,1.0,0.5,0.4857760454122372
enhancer_strength,Enhancer strength,family_best_weighted_pool,30,0.9944,0.9939753220007004,0.5773502691896257,0.75,0.75,1.0,0.5,0.4800606611668555
enhancer_strength,Enhancer strength,correlation_pruned_weighted_pool,30,0.9814,0.9811859276072505,0.5850486126764433,0.755,0.755,1.0,0.51,0.481285954077628
enhancer_strength,Enhancer strength,choquet_integral,30,0.9953,0.9951987880932095,0.4843221048378526,0.69,0.69,1.0,0.38,0.40991888785084285
enhancer_strength,Enhancer strength,raw_score_logistic_l2,30,0.9994,0.9993977778677856,0.7663560447348133,0.87,0.87,1.0,0.74,0.5298475235700607
enhancer_strength,Enhancer strength,aligned_score_logistic_l2,30,1.0,1.0,0.4685212856658182,0.68,0.6799999999999999,1.0,0.36,0.40626059040427204
enhancer_strength,Enhancer strength,sparse_aligned_control,30,0.9741,0.9736357704047928,0.5542468245138263,0.735,0.735,1.0,0.47,0.4426699109375477
enhancer_strength,Enhancer strength,mucff,30,0.9858,0.9851576535022026,0.6391014819458269,0.79,0.79,1.0,0.58,0.4740589298307896
