task_id,n_sources,comparison_level,method,method_display,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_emp_H3,53,Complete method,mucff,MuCFF,0.9563556523446564,0.9537166632825098,0.7840296742740012,0.8917835671342685,0.8916129665661092,0.9112582781456954,0.871967654986523,0.445847076177597
gue_human_tf_0,53,Complete method,mucff,MuCFF,0.924844,0.9107212616105204,0.6813004132652556,0.837,0.837,0.91,0.764,0.504242742061615
gue_mouse_0,49,Complete method,mucff,MuCFF,0.899887212315196,0.91186455678107,0.6681594761638154,0.8271604938271605,0.8271604938271605,0.725925925925926,0.928395061728395,0.5933399403095245
gue_prom_300_all,53,Complete method,mucff,MuCFF,0.98688364607588,0.9874685854892672,0.8821237519075613,0.9410472972972972,0.9410115052732502,0.9463087248322148,0.9357142857142856,0.4879219532012941
gue_prom_core_all,53,Complete method,mucff,MuCFF,0.9253623451413084,0.9261821403128456,0.6973204268431378,0.8486486486486486,0.8486575869801825,0.8453504043126685,0.8519647696476965,0.4744143411517145
ipromoter_hs_notata,53,Complete method,mucff,MuCFF,0.93052006567049,0.9343852870573272,0.7053540665203895,0.852328273732956,0.8523396187577211,0.8302905631267679,0.8743886743886744,0.51530058324337
ipromoter_hs_tata,53,Complete method,mucff,MuCFF,0.9889373183893732,0.9894903944463104,0.8955569831157743,0.9476082004555808,0.9476390618513906,0.9340909090909092,0.9611872146118722,0.5031037050485611
ipromoter_mm_notata,53,Complete method,mucff,MuCFF,0.953590913305122,0.9553579100141768,0.7692163569711357,0.8845854720796391,0.8845910935045183,0.8794282162834058,0.8897539707256307,0.5089743459224702
ipromoter_mm_tata,53,Complete method,mucff,MuCFF,0.991551724137931,0.9921368844760826,0.9058913400284436,0.9529540481400438,0.9529597701149426,0.9525862068965516,0.9533333333333334,0.464850671291353
snnrice6ma_rice_chen,53,Complete method,mucff,MuCFF,0.8855092276144907,0.8968640306097969,0.5259930237408523,0.7584905660377359,0.7588288904078377,0.8484848484848485,0.6691729323308271,0.3918277028203011
