condition,replicates,mean_auc,mean_auprc,mean_mcc,mean_accuracy,auc_difference_vs_complete,auc_difference_ci95_low,auc_difference_ci95_high,auc_decrease_wins,auc_ties,auc_increases,wilcoxon_one_sided_decrease_p
complete,1,0.9297877065472795,0.9354640356479713,0.6662864511382565,0.8254410983601564,0.0,0.0,0.0,0,10,0,1.0
missing_foundation,1,0.9287095789707445,0.9342383147929192,0.6740215338515133,0.8296517594040875,-0.0010781275765348707,-0.0032965392220531443,0.0010432927862909832,8,0,2,0.1162109375
missing_sequence_grammar,1,0.9201151836635877,0.9262151043384458,0.6402116482410867,0.8100122105426616,-0.009672522883691925,-0.024877518214879935,0.00038397254101755205,6,0,4,0.1162109375
random_missing_20,20,0.9165546537029294,0.9218091994619118,0.6395316106816301,0.8111560403149095,-0.013233052844349901,-0.019633973214436617,-0.008002861002168404,10,0,0,0.0009765625
missing_local_derived,1,0.9123046656328132,0.9150383206819184,0.602654748599142,0.7869450385042235,-0.01748304091446643,-0.042036554259657063,-0.0001567823136498139,8,0,2,0.0654296875
missing_strongest,1,0.9070063845807816,0.9067251195142536,0.6159108249646426,0.7950858213627485,-0.022781321966497837,-0.05451575377486545,-0.0007773393656528334,9,0,1,0.0029296875
missing_engineered,1,0.9034118346822136,0.9095944368278553,0.6175999223231764,0.7998471238968368,-0.026375871865065792,-0.05271615095671815,-0.008628620411811996,10,0,0,0.0009765625
score_noise_005,20,0.8898457750919363,0.8824188696789422,0.6103687138198076,0.7987659644884151,-0.039941931455343284,-0.06604520854109965,-0.01718373179479631,10,0,0,0.0009765625
random_missing_40,20,0.8822699119845836,0.8853751404066603,0.5711048855663244,0.7749202149859219,-0.04751779456269576,-0.06932658515244737,-0.027796717136852372,10,0,0,0.0009765625
conflicting_strongest,1,0.6678690005259683,0.714711466833623,0.27508029456038685,0.6396063733941022,-0.2619187060213112,-0.48058913784943347,-0.06732283517230268,9,0,1,0.0029296875
