analysis_group,task_id,condition,replicate,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
primary,gue_emp_H3,complete,0,0.9527587868834901,0.9505027854898968,0.7643430177233882,0.8817635270541082,0.8815399582299495,0.9072847682119205,0.8557951482479784
primary,gue_emp_H3,conflicting_strongest,0,0.9531461416254619,0.9507361806437818,0.7714079195962196,0.8851035404141616,0.884839613716285,0.9152317880794701,0.8544474393530997
primary,gue_emp_H3,missing_engineered,0,0.9488316881169561,0.9470429527658335,0.7473120169870385,0.8717434869739479,0.8712813052248264,0.9245033112582781,0.8180592991913747
primary,gue_emp_H3,missing_foundation,0,0.9522268435051142,0.951128642339773,0.7695140346416779,0.884435537742151,0.8842353760197068,0.9072847682119205,0.8611859838274932
primary,gue_emp_H3,missing_local_derived,0,0.9498991449634959,0.9458278702324158,0.7586978195875765,0.8764195056780227,0.8758590528551793,0.9403973509933775,0.8113207547169812
primary,gue_emp_H3,missing_sequence_grammar,0,0.9510826297281376,0.948012115239465,0.7539002706167789,0.875751503006012,0.8753824458685135,0.9178807947019868,0.8328840970350404
primary,gue_emp_H3,missing_strongest,0,0.9529712072258618,0.9507471606006528,0.7688484569273345,0.8837675350701403,0.8834919048214063,0.9152317880794701,0.8517520215633423
primary,gue_emp_H3,random_missing_20,1,0.9467699612645257,0.9441531135921747,0.7395013446727251,0.8690714762859052,0.8687831348958426,0.9019867549668874,0.8355795148247979
primary,gue_emp_H3,random_missing_20,2,0.9411542100283823,0.9345767707431414,0.7344929304194109,0.8650634602538411,0.8645659663340532,0.9218543046357616,0.807277628032345
primary,gue_emp_H3,random_missing_20,3,0.9516966851716321,0.9495327825269967,0.765287273340148,0.8817635270541082,0.8814471358954679,0.9178807947019868,0.8450134770889488
primary,gue_emp_H3,random_missing_20,4,0.9517377412041913,0.9493150805555572,0.7679799478009001,0.8837675350701403,0.8835963299476982,0.9033112582781457,0.8638814016172507
primary,gue_emp_H3,random_missing_20,5,0.9484086324771067,0.9438437697873079,0.7509040596288786,0.8744154976619907,0.8740695453490656,0.9139072847682119,0.8342318059299192
primary,gue_emp_H3,random_missing_20,6,0.9505239106763536,0.9494558293899278,0.746717708159763,0.8710754843019372,0.8705726424019564,0.928476821192053,0.8126684636118598
primary,gue_emp_H3,random_missing_20,7,0.9478481283804288,0.9461506899444427,0.7385954320794651,0.8663994655978624,0.8658324556862604,0.9311258278145695,0.8005390835579514
primary,gue_emp_H3,random_missing_20,8,0.9533210760250621,0.9511903069009023,0.7651497628011164,0.8817635270541082,0.881458738687278,0.9165562913907285,0.8463611859838275
primary,gue_emp_H3,random_missing_20,9,0.9515235358169258,0.9512369337117094,0.7578442261821577,0.8777555110220441,0.8773924064190215,0.919205298013245,0.8355795148247979
primary,gue_emp_H3,random_missing_20,10,0.9493118651934097,0.9440740021007641,0.7521023155105636,0.87374749498998,0.8732448546080933,0.9311258278145695,0.8153638814016172
primary,gue_emp_H3,random_missing_20,11,0.8343478338480212,0.8313934064995612,0.4713910426890822,0.7214428857715431,0.7198961103871762,0.8980132450331125,0.5417789757412399
primary,gue_emp_H3,random_missing_20,12,0.9483033148283679,0.9466213264067713,0.7507029353705115,0.8750835003340013,0.8748942360900377,0.8966887417218543,0.8530997304582211
primary,gue_emp_H3,random_missing_20,13,0.9474839792220775,0.944152317286368,0.7403268368741331,0.8690714762859052,0.8687135181449813,0.909933774834437,0.8274932614555256
primary,gue_emp_H3,random_missing_20,14,0.9492404633976546,0.9453528402483341,0.746806628883241,0.8724114896459586,0.872071187590368,0.9112582781456954,0.8328840970350404
primary,gue_emp_H3,random_missing_20,15,0.9489459309901644,0.9449906715684421,0.7473120169870385,0.8717434869739479,0.8712813052248264,0.9245033112582781,0.8180592991913747
primary,gue_emp_H3,random_missing_20,16,0.9529194409239392,0.9489090451948848,0.7529000725943225,0.8744154976619907,0.8739419146391532,0.928476821192053,0.8194070080862533
primary,gue_emp_H3,random_missing_20,17,0.9451705610396102,0.943256894781873,0.7328639862560806,0.8657314629258517,0.8654370682422663,0.8993377483443709,0.8315363881401617
primary,gue_emp_H3,random_missing_20,18,0.9496367433640955,0.9478842065754584,0.7535450154071619,0.8764195056780227,0.8762071366094857,0.9006622516556292,0.8517520215633423
primary,gue_emp_H3,random_missing_20,19,0.9519001802895342,0.9495194471388653,0.7447207818469175,0.8697394789579158,0.8692017279234573,0.9311258278145695,0.807277628032345
primary,gue_emp_H3,random_missing_20,20,0.9518109280448404,0.9488113693841734,0.7599550845643495,0.8797595190380761,0.8795880116384927,0.8993377483443709,0.8598382749326146
primary,gue_emp_H3,random_missing_40,1,0.9507399011085129,0.9459160213579415,0.7444213396778369,0.8704074816299265,0.8699568019135682,0.9218543046357616,0.8180592991913747
primary,gue_emp_H3,random_missing_40,2,0.9455257849734922,0.9389778507358105,0.7302566793177091,0.8623914495657983,0.8618357401688652,0.9258278145695364,0.7978436657681941
primary,gue_emp_H3,random_missing_40,3,0.9322450509630318,0.9231901975576823,0.7104010591574941,0.8510354041416166,0.8503454061869655,0.9298013245033112,0.77088948787062
primary,gue_emp_H3,random_missing_40,4,0.9063083486549687,0.8939516400039947,0.6651200538264578,0.8256513026052105,0.8247389371842702,0.9298013245033112,0.7196765498652291
primary,gue_emp_H3,random_missing_40,5,0.931930883061709,0.9279511128996507,0.6930806265107667,0.8443553774215097,0.8438389175487764,0.9033112582781457,0.784366576819407
primary,gue_emp_H3,random_missing_40,6,0.9286160546937755,0.9250210239492419,0.681947426052711,0.8383433533734135,0.8377742275218222,0.9033112582781457,0.7722371967654986
primary,gue_emp_H3,random_missing_40,7,0.9437639456632334,0.9376039622827325,0.7351977496835217,0.8670674682698731,0.8668079827207654,0.8966887417218543,0.8369272237196765
primary,gue_emp_H3,random_missing_40,8,0.9508291533532068,0.9484725281052909,0.7403293380159008,0.8670674682698731,0.8664831045500794,0.9337748344370861,0.7991913746630728
primary,gue_emp_H3,random_missing_40,9,0.9525124506881347,0.9513006577544916,0.7537404378995229,0.875751503006012,0.8753940486603238,0.9165562913907285,0.8342318059299192
primary,gue_emp_H3,random_missing_40,10,0.9480141375555596,0.9444419159377484,0.7463568018679668,0.8717434869739479,0.8713393191838775,0.9178807947019868,0.8247978436657682
primary,gue_emp_H3,random_missing_40,11,0.9040966780314524,0.8817750533221353,0.6679265705828065,0.8276553106212425,0.8267837061102086,0.9271523178807947,0.7264150943396226
primary,gue_emp_H3,random_missing_40,12,0.8568161939272771,0.832816182599645,0.5590786225303217,0.7648630594522378,0.7634297852590992,0.928476821192053,0.5983827493261455
primary,gue_emp_H3,random_missing_40,13,0.9463727887756378,0.9411112319375475,0.7475390136956617,0.8730794923179692,0.8727914532050481,0.9059602649006623,0.839622641509434
primary,gue_emp_H3,random_missing_40,14,0.9289123721461594,0.9218820515745833,0.6985230929158238,0.843687374749499,0.842886596097892,0.9350993377483444,0.7506738544474394
primary,gue_emp_H3,random_missing_40,15,0.9230217239963585,0.9121752025248387,0.672882173187155,0.8256513026052105,0.8245300869316863,0.9536423841059603,0.6954177897574124
primary,gue_emp_H3,random_missing_40,16,0.9413559201013906,0.9340948274174536,0.7030334552582737,0.8443553774215097,0.8434560254190393,0.9470198675496688,0.7398921832884097
primary,gue_emp_H3,random_missing_40,17,0.9501240606201246,0.9492970272100681,0.7572814412739617,0.8770875083500334,0.8766721408043412,0.9245033112582781,0.8288409703504043
primary,gue_emp_H3,random_missing_40,18,0.9452419628353652,0.9426765946057518,0.7034285547965855,0.8450233800935204,0.844153085450099,0.9443708609271523,0.7439353099730458
primary,gue_emp_H3,random_missing_40,19,0.9462844290533907,0.9405523476633649,0.7403293380159008,0.8670674682698731,0.8664831045500794,0.9337748344370861,0.7991913746630728
primary,gue_emp_H3,random_missing_40,20,0.9401902857856874,0.937464658857913,0.7218628973614558,0.8590514362057449,0.8585824958497705,0.9125827814569536,0.8045822102425876
primary,gue_emp_H3,score_noise_005,1,0.9490869495367807,0.949025203461341,0.7612578811010733,0.8804275217100869,0.880261866085932,0.8993377483443709,0.8611859838274932
primary,gue_emp_H3,score_noise_005,2,0.9481230252940861,0.9443466906334481,0.7518018821850726,0.875751503006012,0.8756028989129077,0.8927152317880794,0.8584905660377359
primary,gue_emp_H3,score_noise_005,3,0.9493761268095893,0.9474019981619918,0.7666788552236423,0.8830995323981295,0.8829224755002589,0.9033112582781457,0.862533692722372
primary,gue_emp_H3,score_noise_005,4,0.9509683868549293,0.9518487350203516,0.755730675766704,0.8777555110220441,0.8776244622552257,0.8927152317880794,0.862533692722372
primary,gue_emp_H3,score_noise_005,5,0.9499455561307367,0.9485583623884484,0.7572801301521659,0.8784235136940548,0.8782519055354242,0.8980132450331125,0.8584905660377359
primary,gue_emp_H3,score_noise_005,6,0.9495492761642956,0.9484191732591806,0.7651160653597006,0.8824315297261189,0.8822950322200602,0.8980132450331125,0.866576819407008
primary,gue_emp_H3,score_noise_005,7,0.9514360686171257,0.9493039908327159,0.7757592259857563,0.8877755511022044,0.8876510594241445,0.9019867549668874,0.8733153638814016
primary,gue_emp_H3,score_noise_005,8,0.9486281929990539,0.9465652751971863,0.7637524259637466,0.8817635270541082,0.8816327805644312,0.8966887417218543,0.866576819407008
primary,gue_emp_H3,score_noise_005,9,0.9495742667928099,0.9472958461092936,0.758518143186558,0.8790915163660654,0.8789373627746737,0.8966887417218543,0.8611859838274932
