order,stage,nominal_source_count,minimum_source_count,mean_oof_auc,mean_auc,gain_vs_base_auc,gain_vs_previous_auc,mean_auprc,gain_vs_base_auprc,gain_vs_previous_auprc,mean_mcc,gain_vs_base_mcc,gain_vs_previous_mcc,mean_accuracy,gain_vs_base_accuracy,gain_vs_previous_accuracy,auc_step_ci95_low,auc_step_ci95_high,auc_step_wins,auc_step_ties,auc_step_losses,auc_step_wilcoxon_one_sided_p
0,base_evidence,28,24,0.9337304584320789,0.9120895410385703,0.0,,0.9140903028568221,0.0,,0.6066681848503844,0.0,,0.789883997034321,0.0,,,,,,,
1,foundation_interactions,33,29,0.9345119894624832,0.9145358894531072,0.002446348414536936,0.002446348414536936,0.916860299845921,0.0027699969890991106,0.0027699969890991106,0.5957108199046534,-0.01095736494573101,-0.01095736494573101,0.7840443287296527,-0.005839668304668278,-0.005839668304668278,0.001196611192148809,0.004257587492622118,9.0,0.0,1.0,0.0029296875
2,local_foundation_fusion,39,35,0.9373994154158533,0.9192567590931061,0.007167218054535895,0.004720869639998959,0.9227361909439512,0.008645888087129138,0.005875891098030028,0.6356476275714595,0.028979442721075138,0.03993680766680615,0.8079976475747017,0.018113650540380676,0.023953318845048956,0.0015910970693357748,0.008355269686464495,7.0,0.0,3.0,0.013671875
3,rc_grammar_1,40,36,0.940191674918615,0.9228068707558068,0.010717329717236535,0.003550111662700639,0.9268259624038329,0.012735659547010869,0.004089771459881731,0.6441517343353893,0.037483549485004944,0.008504106763929802,0.811593885104209,0.021709888069888085,0.0035962375295074066,0.00041438492063550523,0.008375959330950233,8.0,0.0,2.0,0.0048828125
4,rc_grammar_2,41,37,0.9408980481741718,0.9235686388829392,0.01147909784436878,0.0007617681271322452,0.9278345420971036,0.013744239240281664,0.0010085796932707946,0.6427076190596507,0.036039434209266294,-0.0014441152757386443,0.8109111341176606,0.021027137083339496,-0.0006827509865485859,-3.3411970819250676e-05,0.0019963550460783018,9.0,0.0,1.0,0.0322265625
5,rc_grammar_3,42,38,0.9413197597421818,0.9237427777264904,0.011653236687920066,0.00017413884355128585,0.9278918063869999,0.013801503530177872,5.7264289896208356e-05,0.647395023415853,0.040726838565468555,0.004687404356202257,0.814471500652289,0.0245875036179679,0.0035603665346284007,-0.0004152989099370901,0.0007557354771634257,8.0,0.0,2.0,0.1376953125
6,biophysical_grammar,43,39,0.9415867838635694,0.9239533284626897,0.011863787424119499,0.00021055073619943298,0.9281933166529137,0.01410301379609159,0.0003015102659137181,0.6474303842480676,0.040762199397683344,3.536083221478692e-05,0.8132414923106139,0.023357495276292883,-0.0012300083416750152,-0.00013495927589378536,0.0006079122770795937,7.0,0.0,3.0,0.24609375
7,position_aware_grammar,44,40,0.9419023576568444,0.9246198432585085,0.012530302219938306,0.0006665147958188067,0.9288334473854796,0.014743144528657581,0.0006401307325659911,0.6519712081392438,0.04530302328885945,0.00454082389117611,0.8162879189245722,0.026403921890251238,0.003046426613958353,0.00020201054598256745,0.0011965741440029508,7.0,0.0,3.0,0.0185546875
8,reliability_routed_l2,44,40,0.942153546958108,0.9280499107436976,0.015960369705127285,0.003430067485188981,0.9331029851893614,0.01901268233253931,0.004269537803881729,0.6544701354714774,0.04780195062109295,0.0024989273322335026,0.8182865906885814,0.028402593654260323,0.0019986717640090856,-3.155821607647269e-05,0.008254935296737554,6.0,0.0,4.0,0.1162109375
9,mucff_dual_decision,44,40,0.942410628012777,0.9298014876255332,0.017711946586962957,0.0017515768818356704,0.9354937977008919,0.02140349484406969,0.0023908125115303823,0.6664218364930172,0.05975365164263282,0.011951701021539867,0.8255179902520483,0.03563399321772738,0.0072313995634670555,0.00039581645084290045,0.0034458692423391096,8.0,0.0,2.0,0.009765625
