comparison_level,method_display,mean_auc,mean_auprc,mean_mcc,mean_accuracy,delta_auc_vs_best_standalone,wtl_vs_best_standalone,p_vs_best_standalone
Source control,Best primitive feature head,0.8891825489947303,0.888814503303219,0.6241785843906592,0.8109961752765471,-0.0346140064267632,0/2/8,1.0
Source control,Best standalone source/expert,0.9237965554214936,0.9217327723973618,0.7045761736192947,0.8496722653478699,0.0,0/10/0,1.0
Channel control,Best individual evidence channel,0.931585564371259,0.9313301880033512,0.722088273142505,0.8596292861832738,0.0077890089497653,5/1/4,0.326171875
Simple pooling,Probability mean,0.9152580531560144,0.9144675025961486,0.6869871116068041,0.8419425030666499,-0.0085385022654791,3/0/7,0.9345703125
Attention fusion,Reliability attention,0.9206484908229056,0.9207053808973328,0.692517018495388,0.8454568016699511,-0.0031480645985878,3/0/7,0.75390625
Formal fusion,Choquet integral,0.9332620334446432,0.934150599394196,0.7220022126520533,0.8592265204139686,0.0094654780231497,7/0/3,0.080078125
Learned fusion,Raw-score logistic (L2),0.9428358811300064,0.9447308102124528,0.7527273426352317,0.8748338900060896,0.0190393257085128,10/0/0,0.0009765625
Learned fusion,XGBoost stacking,0.9428785894033546,0.9441722902754346,0.7524480841626204,0.8746624934679798,0.0190820339818611,10/0/0,0.0009765625
Learned fusion,Super Learner rank mean,0.94315853850466,0.9446408525716716,0.7526367244556441,0.875824297909326,0.0193619830831663,10/0/0,0.0009765625
Matched baseline,Aligned-score logistic (L2),0.9435170731615804,0.9446449288968172,0.7552840967224361,0.8760511807019175,0.0197205177400869,10/0/0,0.0009765625
Matched baseline,Sparse aligned-evidence decision,0.9437223817700552,0.944815418107488,0.752439485957154,0.8749244464341173,0.0199258263485614,10/0/0,0.0009765625
Complete method,MuCFF,0.944344210499445,0.9458187714079906,0.7514945512830368,0.8741606567353329,0.0205476550779512,10/0/0,0.0009765625
