comparison_level,method,method_display,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,mucff_minus_method_auc
Complete method,mucff,MuCFF,0.9443442104994448,0.9458187714079906,0.7514945512830367,0.8741606567353329,0.8741800987283114,0.8783724077098988,0.8699877897467237,0.0
Residual-state ablation,compact_residual,Compact residual summaries,0.9439500947453775,0.9450481109353739,0.75037161636274,0.8734854615045551,0.8735138279578388,0.8840836434266922,0.8629440124889856,0.0003941157540673368
Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.9437047744222296,0.9448023897789474,0.7492012911297364,0.872773805682366,0.8727888352117867,0.8831847002877453,0.8623929701358282,0.000639436077215283
Matched baseline,aligned_score_logistic_l2,Aligned-score logistic (L2),0.9435262731613566,0.9446614485664954,0.7548019992876921,0.8759716812270109,0.8759765948783503,0.8749983152335628,0.8769548745231379,0.0008179373380882149
Learned fusion,super_learner_rank_mean,Super Learner rank mean,0.9431585385046599,0.9446408525716716,0.752636724455644,0.875824297909326,0.875786738541985,0.8728923925766932,0.8786810845072768,0.0011856719947849204
Learned fusion,xgboost_stacking,XGBoost stacking,0.9428785894033547,0.9441722902754346,0.7524480841626204,0.8746624934679795,0.87465506195797,0.8721281266528841,0.8771819972630558,0.0014656210960901639
Learned fusion,raw_score_logistic_l2,Raw-score logistic (L2),0.9428460988103572,0.9447443698762884,0.7528115991243027,0.8748765086795609,0.874869599343219,0.8630310857460965,0.8867081129403414,0.0014981116890876445
Matched architecture,source_self_attention,Source self-attention (Q=K=V),0.9406564923279086,0.9406697656694194,0.7457611957724861,0.8702669027549701,0.8702283158625962,0.8559943273759009,0.8844623043492914,0.003687718171536236
Matched architecture,anchor_query_qkv,Anchor-query cross-attention,0.9401669384402608,0.9402724215370629,0.7461159263743767,0.8709118881432103,0.8708634496994243,0.8603319755951055,0.8813949238037428,0.004177272059184056
Formal fusion,choquet_integral,Choquet integral,0.9332620277378814,0.9341505610902999,0.7220022126520533,0.8592265204139686,0.8592253110861325,0.8644288355825743,0.8540217865896909,0.011082182761563475
Channel control,best_source,Best individual evidence channel,0.9315855643712588,0.9313301880033513,0.722088273142505,0.859629286183274,0.8596988388048116,0.8577961791358751,0.8616014984737481,0.012758646128186002
Source control,best_standalone_source,Best standalone source/expert,0.9237965554214934,0.921732772397362,0.7045761736192947,0.8496722653478699,0.8496426287418897,0.8395779551029113,0.8597073023808683,0.02054765507795142
Attention fusion,reliability_attention,Reliability attention,0.9206484908229058,0.9207051776899942,0.692517018495388,0.8454568016699511,0.8454287883300079,0.8575371792635289,0.8333203973964869,0.02369571967653905
Simple pooling,probability_mean,Probability mean,0.9152580531560144,0.9144674983952052,0.6869871116068041,0.8419425030666499,0.8418979412138509,0.8383925560220072,0.8454033264056946,0.029086157343430452
Source control,best_primitive_head,Best primitive feature head,0.8891825489947303,0.888814503303219,0.6241785843906592,0.8109961752765471,0.8110581015677383,0.8094849748851572,0.8126312282503191,0.055161661504714576
