task_id,mucff_auc,mucff_auprc,mucff_mcc,mucff_accuracy,aligned_l2_auc,aligned_l2_auprc,aligned_l2_mcc,aligned_l2_accuracy,individual_channel,individual_channel_auc,individual_channel_auprc,individual_channel_mcc,individual_channel_accuracy,standalone_source,standalone_source_auc,standalone_source_auprc,standalone_source_mcc,standalone_source_accuracy,mucff_minus_aligned_l2_auc,mucff_minus_individual_channel_auc,mucff_minus_standalone_source_auc
gue_emp_H3,0.9527730672426412,0.9505128496127592,0.7643430177233882,0.8817635270541082,0.9529747773156494,0.9501128623010036,0.7609704787933551,0.8784235136940548,aligned_score_anchor,0.9470591385373344,0.9419086783110788,0.7568680472698546,0.8784235136940548,dnabert2__pool_interaction,0.929378268863462,0.931631581894788,0.7063382277194582,0.8530394121576487,-0.00020171007300817667,0.005713928705306848,0.023394798379179238
gue_human_tf_0,0.925016,0.9124622219906494,0.6836888759905564,0.833,0.924312,0.9116903354250117,0.6845496140287646,0.839,aligned_score_anchor,0.921652,0.9109136756703766,0.6740453315865719,0.832,dnabert1_6mer_mean__linear,0.915356,0.901853128978112,0.6543005101543008,0.815,0.0007039999999999269,0.0033639999999999226,0.009660000000000002
gue_mouse_0,0.8980765127267185,0.9090587799015922,0.6328506703258854,0.8074074074074075,0.8965645480871819,0.9075688127801048,0.6523598351221287,0.8197530864197531,aligned_score_anchor,0.8624417009602194,0.8660076765945668,0.5685652811070231,0.7802469135802469,rc_multiscale_seed1,0.879817101051669,0.8918383345991515,0.6043310730493531,0.7876543209876543,0.0015119646395366226,0.035634811766499075,0.01825941167504952
gue_prom_300_all,0.9857148564123636,0.9862809753763404,0.8770292250767459,0.9385135135135136,0.9854813267588914,0.98603230258003,0.876687981464363,0.9383445945945946,rc_multiscale_biophysical_position_seed4,0.978638371455965,0.9791379506903284,0.8419111103159158,0.920945945945946,rc_multiscale_biophysical_position_seed4,0.978638371455965,0.9791379506903284,0.8419111103159158,0.920945945945946,0.00023352965347211985,0.0070764849563985655,0.0070764849563985655
gue_prom_core_all,0.9231077176422036,0.9239018427883652,0.6880878446677338,0.84375,0.9232782356883542,0.9240768372125512,0.6891313999142133,0.8442567567567567,rc_multiscale_seed0,0.917449520266766,0.9179677098502078,0.6794599423644736,0.839695945945946,rc_multiscale_seed0,0.917449520266766,0.9179677098502078,0.6794599423644736,0.839695945945946,-0.00017051804615064725,0.005658197375437601,0.005658197375437601
ipromoter_hs_tata,0.957344,0.9691402248466354,0.7303809073063449,0.86,0.954032,0.9656209078667748,0.7480564880520522,0.872,aligned_score_anchor,0.952544,0.9657414000253732,0.7356673549195366,0.864,dnashaper_shape4__histgb,0.851248,0.8429977014921486,0.5460130446096849,0.77,0.0033119999999999816,0.0048000000000000265,0.10609599999999997
ipromoter_hs_notata,0.90178432,0.916681108205149,0.4668800957256285,0.7056,0.87964848,0.8867237846036435,0.3886481369974806,0.6544,aligned_score_anchor,0.89782072,0.9109135959273268,0.5014113166833586,0.7288,rc_multiscale_biophysical_seed3,0.6187100799999999,0.6254472419284856,0.1856029102764498,0.5928,0.022135840000000018,0.003963599999999956,0.28307424000000003
ipromoter_mm_tata,0.954992,0.96739129399464,0.696417806248397,0.842,0.954032,0.966505873170322,0.6893711141230373,0.838,aligned_score_anchor,0.953952,0.9668585890103712,0.7231216611058653,0.858,promoter_motif__scaled_logreg_l2_c1,0.840448,0.8435298669539821,0.5321064319306437,0.766,0.0009599999999999609,0.0010399999999999299,0.11454399999999998
ipromoter_mm_notata,0.9004835200000001,0.9189235226585182,0.5145409002547621,0.7386,0.8764532800000001,0.8886165486461772,0.4128238783854407,0.6714,aligned_score_anchor,0.8977691200000001,0.9162460567707632,0.4804243393611913,0.7202,rc_multiscale_biophysical_position_seed4,0.7463938400000001,0.7617358722234543,0.3690108457529141,0.678,0.02403023999999998,0.0027144000000000057,0.15408968
snnrice6ma_rice_chen,0.898722882231405,0.9005851576342687,0.6099990216107299,0.8045454545454546,0.8994925103305784,0.9014774584833628,0.630407318156422,0.8147727272727273,aligned_score_anchor,0.8934607438016531,0.8958026085261183,0.6034967695233106,0.8017045454545455,dnashaper_shape4__histgb;zcurve12__extratrees_300,0.8297397985537189,0.8332892990062436,0.4944334396165801,0.7471590909090909,-0.0007696280991734694,0.0052621384297518725,0.06898308367768602
