recipe_label,detail,mean_auc,mean_auprc,mean_mcc,mean_accuracy,mucff_minus_method_auc,mucff_wtl_vs_method,mucff_vs_method_p
Choquet integral (pruned),capacity-based fusion,0.9332620277378816,0.9341505610902999,0.7220022126520533,0.8592265204139686,0.01068806700749606,10/0/0,0.0009765625
Correlation-pruned weighted pool,redundancy-pruned pooling,0.9302657190545329,0.9309963783066177,0.7117871170507911,0.8540763667723992,0.013684375690844408,10/0/0,0.0009765625
Family-best weighted pool,redundancy-pruned pooling,0.9301295336707776,0.9310931722898104,0.7148111012157531,0.8552513209681264,0.013820561074599946,10/0/0,0.0009765625
Reliability attention,attention fusion,0.9206484908229058,0.9207051776899942,0.692517018495388,0.8454568016699511,0.023301603922471704,10/0/0,0.0009765625
OOF-skill linear pool,linear opinion pool,0.9196592278671168,0.9192151444694954,0.6901161670416445,0.8439758894458776,0.024290866878260507,10/0/0,0.0009765625
OOF-skill logarithmic pool,logarithmic opinion pool,0.9192555878360441,0.9193496817564697,0.6922769320632673,0.8443985213187505,0.024694506909333426,10/0/0,0.0009765625
Probability mean,classical pooling,0.9152580531560142,0.9144674983952055,0.6869871116068041,0.8419425030666499,0.028692041589363115,10/0/0,0.0009765625
Probability median,classical pooling,0.9125264127962087,0.9121471048130652,0.6717541935066432,0.8334091729716417,0.03142368194916885,10/0/0,0.0009765625
Rank mean,rank fusion,0.908568447367035,0.9088396827421519,0.6621065337297128,0.8305341924706464,0.035381647378342596,10/0/0,0.0009765625
Majority vote,voting,0.905812925471753,0.8996694563743004,0.6724203201285701,0.8350337686745528,0.03813716927362441,10/0/0,0.0009765625
Dempster-Shafer pool,belief-function fusion,0.8860361049260128,0.8539933048040315,0.7031657854072736,0.8502779517461475,0.05791398981936471,10/0/0,0.0009765625
