method,fusion_family,mean_oof_auc,mean_auc,mean_auprc,mean_mcc,mean_accuracy,median_auc
xgboost_stacking,boosted-tree stacking,0.9404981655195597,0.9308779748819683,0.9369176789441405,0.6944478043606521,0.8434742801424733,0.9227331386916631
raw_logistic_l2,linear stacking,0.9406738370617254,0.9304723734199968,0.9368950060127584,0.6699262692159111,0.8283730370012934,0.9226452344301272
histgb_stacking,tree stacking,0.9397677775758135,0.9302528464195572,0.9359411452158355,0.6804528914627461,0.8334439892716545,0.9227959473060432
lightgbm_stacking,boosted-tree stacking,0.9399678717075151,0.9302253886862388,0.936086329929816,0.6869294566421333,0.8389582239250242,0.9230748165234954
superlearner_rank_mean,super learner,0.9417948534010687,0.9296515221386853,0.9354476037586494,0.7184407266141392,0.8584575516577487,0.923789515495
aligned_elastic_net,elastic-net stacking,0.9407896780598378,0.9284338173706846,0.9341251660315455,0.6824198619778328,0.8364372630813847,0.9238423399276108
anchor_query_qkv,QKV attention,0.940217885655642,0.9274752499301547,0.9323658665118953,0.6498990079107452,0.816316133163588,0.9234525084971401
source_self_attention,QKV attention,0.940232784038835,0.9274660343572341,0.9325046883668311,0.6571005913998039,0.820912292496541,0.9230054066446797
aligned_logistic_l2,aligned-score stacking,0.9418994621958859,0.9246160197094182,0.9288282840626335,0.6521899248253689,0.8163879189245723,0.9237987754384619
full_context_logistic_l2,contextual dense stacking,0.9389548129016552,0.9242252034600259,0.9287331115548296,0.6411075263276158,0.8094027433564006,0.9230185655647594
mlp_stacking,neural stacking,0.9365495856336418,0.9232785466599222,0.9273553142025502,0.6861301061036884,0.8404001124100355,0.9237258363830269
nystroem_rbf_stacking,kernel stacking,0.9334042042520935,0.920136023072987,0.9245398786528642,0.665789622232818,0.8269623252386411,0.9207982998798383
choquet_pruned_oof,capacity-based fusion,0.907850267772309,0.8814597670999895,0.8772427953582369,0.618982252631256,0.8066355411019206,0.9160054447567185
family_best_weighted_pool,redundancy-pruned pooling,0.9043695285844736,0.8764882359729169,0.8723770602401121,0.6110915488357622,0.8027057179274981,0.9084619662287525
correlation_pruned_weighted_pool,redundancy-pruned pooling,0.9014429221527166,0.8725439956724743,0.86721090256263,0.6046351569206361,0.8003047769506921,0.9129317956358337
dempster_shafer_pool,belief-function fusion,0.8958343453882256,0.8636133970243588,0.8448144404242871,0.6071907567561332,0.7999839326312406,0.8715397887517147
reliability_attention_oof,attention fusion,0.8886862790179725,0.8611655664895108,0.853985324357506,0.5767874327316793,0.7854455221973659,0.8671543959762231
oof_skill_log_pool,logarithmic opinion pool,0.8845288960178609,0.8538670671680542,0.849564827337802,0.5614984090563222,0.7789651067640179,0.8603597171162932
oof_skill_linear_pool,linear opinion pool,0.88224382558496,0.8525361573384448,0.8486243141783876,0.5577487302545912,0.777176999476248,0.8659136976291157
probability_mean,classical pooling,0.8413511076436186,0.816354848994109,0.8151725880413542,0.5080463291111467,0.7525446135076596,0.8538276691697182
probability_median,classical pooling,0.8300411026697869,0.8133099194011614,0.8136782662307734,0.5000374830752039,0.7477615217990201,0.8520568534515879
rank_mean,rank fusion,0.824349010450258,0.8060397725035935,0.8033412363872607,0.4867677042087128,0.7422706834027809,0.8472753910063346
majority_vote,voting,0.8206457118694473,0.8056126886439365,0.7951836862057944,0.4913114492577835,0.7436903896241539,0.8436800071224465
