task_id,method,fusion_family,oof_auc,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,mean_oof_threshold,n_test
gue_emp_H3,aligned_elastic_net,elastic-net stacking,0.9524222083485224,0.951477124649685,0.9488352705431774,0.7594137769328178,0.8790915163660654,0.8788213348565717,0.909933774834437,0.8477088948787062,0.4125151857733727,1497
gue_human_tf_0,aligned_elastic_net,elastic-net stacking,0.8913712866824789,0.9247,0.9115481624699889,0.6826561487862891,0.836,0.8360000000000001,0.924,0.748,0.4633554571866989,1000
gue_mouse_0,aligned_elastic_net,elastic-net stacking,0.8863078245673134,0.8971437280902301,0.9084118291018669,0.6582997689947839,0.8234567901234567,0.8234567901234568,0.7308641975308642,0.9160493827160494,0.5883778509497644,810
gue_prom_300_all,aligned_elastic_net,elastic-net stacking,0.9859609782934466,0.9853991462356756,0.9859168702734454,0.8719582243887091,0.9359797297297298,0.9359619686800895,0.9385906040268457,0.9333333333333333,0.5026534304022792,5920
gue_prom_core_all,aligned_elastic_net,elastic-net stacking,0.9247597385060264,0.9229846798552217,0.9237698782939603,0.6901403479007459,0.8445945945945946,0.8446628536366225,0.8194070080862533,0.8699186991869918,0.5172096848487853,5920
ipromoter_hs_tata,aligned_elastic_net,elastic-net stacking,0.972557868507728,0.9535359999999999,0.9666160595626685,0.7320619338840961,0.862,0.8620000000000001,0.936,0.788,0.46625210613012336,500
ipromoter_hs_notata,aligned_elastic_net,elastic-net stacking,0.9692376954319156,0.89941008,0.9137417369913104,0.548172588877258,0.7596,0.7596,0.92,0.5992,0.5180194121599198,5000
ipromoter_mm_tata,aligned_elastic_net,elastic-net stacking,0.9743862556731702,0.954352,0.9670286966294407,0.7267523746672638,0.86,0.8600000000000001,0.928,0.792,0.43760684609413175,500
ipromoter_mm_notata,aligned_elastic_net,elastic-net stacking,0.9646592175680848,0.8998912,0.9173778417910853,0.5422240765212399,0.7574,0.7574000000000001,0.9144,0.6004,0.5463225817680358,5000
snnrice6ma_rice_chen,aligned_elastic_net,elastic-net stacking,0.8862337070196918,0.8954442148760331,0.8980053146585107,0.6125193788251234,0.80625,0.8062499999999999,0.8022727272727272,0.8102272727272727,0.5146015406548978,1760
gue_emp_H3,aligned_logistic_l2,aligned-score stacking,0.9530304490469746,0.9529408614626658,0.9500841595847104,0.7597333136700305,0.8777555110220441,0.8772763785009193,0.9324503311258279,0.8221024258760108,0.39682357907295224,1497
