reference_method,comparison_method,task_count,mean_auc_difference,ci95_low,ci95_high,wins,ties,losses,wilcoxon_one_sided_p
mucff,best_primitive_head,10,0.05516166150471445,0.03953534469623511,0.07163506021078535,10,0,0,0.0009765625
mucff,probability_mean,10,0.029086157343430452,0.01912391841209219,0.03921232103466353,10,0,0,0.0009765625
mucff,reliability_attention,10,0.02369571967653904,0.01570322111944359,0.03149120420706262,10,0,0,0.0009765625
mucff,best_standalone_source,10,0.020547655077951244,0.011300183675160908,0.03205219748875558,10,0,0,0.0009765625
mucff,best_source,10,0.012758646128185858,0.006244629030013322,0.01993236313439679,9,0,1,0.001953125
mucff,choquet_integral,10,0.011082182761563397,0.008119755847676612,0.014171826544968591,10,0,0,0.0009765625
mucff,anchor_query_qkv,10,0.004177272059184045,0.0006558352199611206,0.00900604875068518,9,0,1,0.001953125
mucff,source_self_attention,10,0.0036877181715361473,0.0007137570097855539,0.007841344036829633,9,0,1,0.0029296875
mucff,raw_score_logistic_l2,10,0.0014981116890876224,0.0008897679806560976,0.002139424231646514,9,0,1,0.001953125
mucff,xgboost_stacking,10,0.0014656210960901194,0.0007262644306970211,0.002277564707562574,9,0,1,0.001953125
mucff,super_learner_rank_mean,10,0.0011856719947848648,0.0004063736098278148,0.00226123351229337,9,0,1,0.0029296875
mucff,aligned_score_logistic_l2,10,0.000817937338088226,0.00021272364550496415,0.0017332024107568733,10,0,0,0.0009765625
mucff,sparse_aligned_control,10,0.0006394360772151054,0.00034985938508705903,0.000924855496459176,10,0,0,0.0009765625
mucff,compact_residual,10,0.0003941157540673368,0.00019086604394763398,0.0005937061618268344,8,0,2,0.0068359375
