comparator,family,mean_auc,mean_auprc,mean_mcc,mean_accuracy,mucff_auc_difference,auc_difference_ci95_low,auc_difference_ci95_high,wins,ties,losses,wilcoxon_one_sided_p
xgboost_stacking,boosted-tree stacking,0.9308779748819681,0.9369176789441402,0.6944478043606521,0.8434742801424733,-0.0010764872564350992,-0.003924667958086066,0.0013398965867893575,6,0,4,0.5390625
raw_logistic_l2,linear stacking,0.9304723734199966,0.9368950060127584,0.6699262692159111,0.8283730370012936,-0.0006708857944634939,-0.0030982608326929283,0.0012839616939318461,7,0,3,0.3125
histgb_stacking,tree stacking,0.9302528464195572,0.9359411452158357,0.680452891462746,0.8334439892716545,-0.0004513587940239261,-0.003872763062784381,0.0031772284904948863,5,0,5,0.615234375
lightgbm_stacking,boosted-tree stacking,0.9302253886862386,0.936086329929816,0.6869294566421333,0.8389582239250242,-0.0004239010607055227,-0.0036638411584925,0.0026775528677973645,6,0,4,0.4609375
superlearner_rank_mean,super learner,0.9296515221386852,0.9354476037586494,0.718440726614139,0.8584575516577487,0.0001499654868479472,-0.0006781951099345054,0.0010076419973910282,6,0,4,0.34765625
aligned_elastic_net,elastic-net stacking,0.9284338173706844,0.9341251660315454,0.6824198619778327,0.8364372630813847,0.0013676702548486297,0.0006517772574347768,0.002187368577456605,10,0,0,0.0009765625
anchor_query_qkv,QKV attention,0.9274752499301547,0.9323658665118953,0.6498990079107452,0.816316133163588,0.0023262376953784637,-2.1112006680674962e-05,0.0048544977843956345,7,0,3,0.080078125
source_self_attention,QKV attention,0.9274660343572343,0.9325046883668309,0.6571005913998038,0.820912292496541,0.002335453268299059,-5.952567098645e-05,0.004968772692289595,8,0,2,0.080078125
aligned_logistic_l2,aligned-score stacking,0.9246160197094182,0.9288282840626335,0.6521899248253689,0.8163879189245723,0.0051854679161149496,0.0004077022394983382,0.01172852091354587,7,0,3,0.0244140625
full_context_logistic_l2,contextual dense stacking,0.9242252034600259,0.9287331115548296,0.6411075263276158,0.8094027433564006,0.005576284165507284,0.0023122204061314755,0.009264461977420403,9,0,1,0.001953125
mlp_stacking,neural stacking,0.9232785466599222,0.9273553142025502,0.6861301061036884,0.8404001124100355,0.006522940965611057,0.0025244001221152515,0.011147140489410772,9,0,1,0.0048828125
OOF-selected individual evidence channel,source control,0.9222787315021936,0.9271497941376511,0.6564971154237103,0.822401686462074,0.007522756123339381,0.0035819465969234615,0.01412376689272979,10,0,0,0.0009765625
nystroem_rbf_stacking,kernel stacking,0.920136023072987,0.9245398786528642,0.6657896222328179,0.8269623252386413,0.009665464552546155,0.00593472721394341,0.013974698057454417,10,0,0,0.0009765625
choquet_pruned_oof,capacity-based fusion,0.8814597670999895,0.8772427953582369,0.618982252631256,0.8066355411019206,0.048341720525543676,0.01078738486835785,0.09905191858355478,10,0,0,0.0009765625
family_best_weighted_pool,redundancy-pruned pooling,0.8764882359729171,0.8723770602401121,0.6110915488357621,0.8027057179274981,0.05331325165261623,0.017650283986864697,0.09878836173459865,10,0,0,0.0009765625
correlation_pruned_weighted_pool,redundancy-pruned pooling,0.8725439956724743,0.86721090256263,0.604635156920636,0.8003047769506921,0.05725749195305879,0.015462223358689707,0.11176859896542159,10,0,0,0.0009765625
dempster_shafer_pool,belief-function fusion,0.8636133970243588,0.8448144404242871,0.6071907567561331,0.7999839326312405,0.0661880906011745,0.041651472915684086,0.09790109806580384,10,0,0,0.0009765625
reliability_attention_oof,attention fusion,0.8611655664895107,0.853985324357506,0.5767874327316794,0.785445522197366,0.0686359211360224,0.028754784081519418,0.11338820682350921,10,0,0,0.0009765625
oof_skill_log_pool,logarithmic opinion pool,0.8538670671680544,0.849564827337802,0.5614984090563222,0.7789651067640179,0.07593442045747892,0.03166389088849717,0.12626653608276667,10,0,0,0.0009765625
oof_skill_linear_pool,linear opinion pool,0.8525361573384448,0.8486243141783874,0.5577487302545913,0.7771769994762481,0.07726533028708837,0.0324810067772707,0.13047257139431073,10,0,0,0.0009765625
OOF-selected standalone source,source control,0.8507178980191581,0.8529428687616903,0.5613507535789775,0.7770294715946287,0.0790835896063751,0.03234285728924697,0.13571106383791792,10,0,0,0.0009765625
probability_mean,classical pooling,0.8163548489941093,0.8151725880413542,0.5080463291111466,0.7525446135076596,0.11344663863142398,0.04486433188037371,0.18497700924934019,10,0,0,0.0009765625
probability_median,classical pooling,0.8133099194011614,0.8136782662307734,0.5000374830752039,0.7477615217990201,0.11649156822437182,0.04821334795729075,0.18883686199361474,10,0,0,0.0009765625
rank_mean,rank fusion,0.8060397725035935,0.8033412363872605,0.4867677042087129,0.7422706834027809,0.1237617151219396,0.05227283085173472,0.20141675595239303,10,0,0,0.0009765625
majority_vote,voting,0.8056126886439365,0.7951836862057944,0.4913114492577835,0.7436903896241538,0.12418879898159667,0.056278927268153346,0.19615072810992043,10,0,0,0.0009765625
