"comparison","metric","comparison_method_mean","reference_method_mean","mean_difference","ci95_low","ci95_high","wins","ties","losses","wilcoxon_one_sided_p"
"residual_l2_vs_aligned_l2","auc","0.9430926776385897","0.9437514105808775","-0.0006587329422877098","-0.0017863038959076484","0.0002298369215695817","3","0","7","0.8623046875"
"residual_l2_vs_aligned_l2","auprc","0.9445399097092304","0.9449219459034991","-0.0003820361942686645","-0.0012234394499126445","0.000479939819530828","4","0","6","0.75390625"
"residual_l2_vs_aligned_l2","mcc","0.7556186650101072","0.7580645207336516","-0.0024458557235443102","-0.009312390764014489","0.003496416369430509","6","0","4","0.5771484375"
"residual_l2_vs_aligned_l2","accuracy","0.8756397706697261","0.8779497781660102","-0.002310007496283917","-0.006746956570862372","0.0013757277737890372","5","0","5","0.7841796875"
"residual_l2_vs_aligned_l2","balanced_accuracy","0.8756265248872281","0.8779431711437733","-0.0023166462565452073","-0.00676975582768784","0.0013878510094054608","5","0","5","0.7841796875"
"mucff_vs_aligned_sparse","auc","0.944344210499445","0.9437047744222298","0.0006394360772151497","0.00034985938508709237","0.0009248554964592093","10","0","0","0.0009765625"
"mucff_vs_aligned_sparse","auprc","0.9458187714079906","0.9448023897789474","0.0010163816290433502","0.00038243167388061214","0.0018711019505271923","10","0","0","0.0009765625"
"mucff_vs_aligned_sparse","mcc","0.7514945512830368","0.7492012911297364","0.0022932601533001916","-0.002992820448090139","0.007820300383189725","7","0","3","0.2158203125"
"mucff_vs_aligned_sparse","accuracy","0.8741606567353329","0.872773805682366","0.0013868510529671308","-0.0007796027116729442","0.003888863399113851","7","0","3","0.1875"
"mucff_vs_aligned_sparse","balanced_accuracy","0.8741800987283114","0.8727888352117867","0.0013912635165245213","-0.0007927575386824344","0.003907234635709133","7","0","3","0.1875"
"mucff_vs_residual_l2","auc","0.944344210499445","0.9430926776385897","0.0012515328608549536","0.000103428459395849","0.0030758978190249643","8","0","2","0.0244140625"
"mucff_vs_residual_l2","auprc","0.9458187714079906","0.9445399097092304","0.0012788616987603918","-4.559961966323911e-05","0.003246700539582261","7","0","3","0.0654296875"
"mucff_vs_residual_l2","mcc","0.7514945512830368","0.7556186650101072","-0.004124113727070555","-0.018737882759486492","0.005954463686041518","6","1","3","0.5"
"mucff_vs_residual_l2","accuracy","0.8741606567353329","0.8756397706697261","-0.0014791139343930393","-0.009684027086459069","0.004298274331588347","7","1","2","0.248046875"
"mucff_vs_residual_l2","balanced_accuracy","0.8741800987283114","0.8756265248872281","-0.0014464261589168693","-0.009540661120479254","0.0042705519350137","7","1","2","0.248046875"
