comparison,metric,comparison_method_mean,reference_method_mean,mean_difference,ci95_low,ci95_high,wins,ties,losses,wilcoxon_one_sided_p
routed_l2_vs_aligned_l2,auc,0.94369628417543,0.9437514105808776,-5.5126405447547545e-05,-0.0004719103230384,0.0002644568535904,6,0,4,0.384765625
routed_l2_vs_aligned_l2,auprc,0.9449513508435494,0.9449219459034992,2.940494005047034e-05,-0.0003323664949674,0.0003977346883761,6,0,4,0.4609375
routed_l2_vs_aligned_l2,mcc,0.7553599188256065,0.7580645207336516,-0.002704601908045,-0.0061123761973712,0.0001250204830172,2,1,7,0.935546875
routed_l2_vs_aligned_l2,accuracy,0.8764351095113516,0.8779497781660102,-0.0015146686546583,-0.0032506248476545,-7.877919313148407e-06,2,2,6,0.9609375
routed_l2_vs_aligned_l2,balanced_accuracy,0.8764293408241379,0.8779431711437733,-0.0015138303196353,-0.0032439662778016,-1.2637273795514313e-05,2,1,7,0.962890625
mucff_vs_aligned_sparse,auc,0.9439500947453772,0.9437047744222298,0.0002453203231477,9.675410077324728e-05,0.0004143547299963,9,0,1,0.001953125
mucff_vs_aligned_sparse,auprc,0.945048110935374,0.9448023897789474,0.0002457211564263,5.122475947665935e-05,0.0004947018478045,8,0,2,0.0244140625
mucff_vs_aligned_sparse,mcc,0.75037161636274,0.7492012911297364,0.0011703252330034,-5.42168336384874e-06,0.0024237276588008,7,1,2,0.064453125
mucff_vs_aligned_sparse,accuracy,0.8734854615045551,0.872773805682366,0.0007116558221891,-7.043688018403272e-05,0.0015997035145165,6,2,2,0.07421875
mucff_vs_aligned_sparse,balanced_accuracy,0.8735138279578389,0.8727888352117867,0.0007249927460521,-5.880990975581389e-05,0.0016106003762289,6,1,3,0.08203125
mucff_vs_routed_l2,auc,0.9439500947453772,0.94369628417543,0.0002538105699474,-0.0004298624749243,0.0013569542470739,3,0,7,0.8623046875
mucff_vs_routed_l2,auprc,0.945048110935374,0.9449513508435494,9.676009182428836e-05,-0.0004911909711534,0.0009169338433394,3,0,7,0.8388671875
mucff_vs_routed_l2,mcc,0.75037161636274,0.7553599188256065,-0.0049883024628665,-0.0145922410131022,0.0009652534212707,4,0,6,0.8125
mucff_vs_routed_l2,accuracy,0.8734854615045551,0.8764351095113516,-0.0029496480067965,-0.009406071263435,0.0009526976564887,4,1,5,0.71484375
mucff_vs_routed_l2,balanced_accuracy,0.8735138279578389,0.8764293408241379,-0.0029155128662991,-0.0092850833872446,0.0009432935413766,4,1,5,0.71484375
