task_id,selected_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
gue_emp_H3,aligned_score_anchor,0.9470591385373343,0.9419086783110789,0.7568680472698546,0.8784235136940548,0.8783563306617161,0.8860927152317881,0.8706199460916442
gue_human_tf_0,aligned_score_anchor,0.9216519999999999,0.9109136756703766,0.6740453315865719,0.832,0.8320000000000001,0.918,0.746
gue_mouse_0,aligned_score_anchor,0.8624417009602194,0.8660076765945668,0.5685652811070231,0.7802469135802469,0.7802469135802469,0.6962962962962963,0.8641975308641975
gue_prom_300_all,rc_multiscale_biophysical_position_seed4,0.978638371455965,0.9791379506903283,0.8419111103159158,0.9209459459459459,0.9209651645893258,0.9181208053691275,0.9238095238095239
gue_prom_core_all,rc_multiscale_seed0,0.9174495202667661,0.9179677098502078,0.6794599423644736,0.839695945945946,0.8397125800772833,0.8335579514824798,0.8458672086720868
ienhancer_recognition,aligned_score_anchor,0.8402499999999999,0.8365978907811176,0.5504405287049869,0.775,0.775,0.795,0.755
ienhancer_strength,aligned_score_anchor,0.9430000000000001,0.943531807332737,0.6624567313140605,0.805,0.8049999999999999,1.0,0.61
ipromoter_hs_notata,aligned_score_anchor,0.89782072,0.9109135959273267,0.5014113166833586,0.7288,0.7288,0.9332,0.5244
ipromoter_hs_tata,aligned_score_anchor,0.952544,0.9657414000253732,0.7356673549195366,0.864,0.8640000000000001,0.936,0.792
ipromoter_mm_notata,aligned_score_anchor,0.8977691200000001,0.9162460567707633,0.4804243393611913,0.7202,0.7202,0.92,0.5204
ipromoter_mm_tata,aligned_score_anchor,0.953952,0.9668585890103712,0.7231216611058653,0.858,0.8580000000000001,0.928,0.788
snnrice6ma_rice_chen,aligned_score_anchor,0.8934607438016531,0.8958026085261183,0.6034967695233106,0.8017045454545455,0.8017045454545455,0.8102272727272727,0.7931818181818182
