task_id,selected_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
gue_emp_H3,dnabert2__pool_interaction,0.929378268863462,0.9316315818947879,0.7063382277194582,0.8530394121576487,0.8528890951607433,0.8701986754966887,0.8355795148247979
gue_human_tf_0,dnabert1_6mer_mean__linear,0.9153560000000001,0.901853128978112,0.6543005101543008,0.815,0.815,0.95,0.68
gue_mouse_0,rc_multiscale_seed1,0.879817101051669,0.8918383345991515,0.6043310730493531,0.7876543209876543,0.7876543209876543,0.6345679012345679,0.9407407407407408
gue_prom_300_all,rc_multiscale_biophysical_position_seed4,0.978638371455965,0.9791379506903283,0.8419111103159158,0.9209459459459459,0.9209651645893258,0.9181208053691275,0.9238095238095239
gue_prom_core_all,rc_multiscale_seed0,0.9174495202667661,0.9179677098502078,0.6794599423644736,0.839695945945946,0.8397125800772833,0.8335579514824798,0.8458672086720868
ienhancer_recognition,dnabert1_6mer_mean__linear,0.8181499999999999,0.8170275631666564,0.4781724390398012,0.7375,0.7375,0.68,0.795
ienhancer_strength,dnabert1_6mer_mean__linear,0.7017,0.6970613478078935,0.2608360150191666,0.63,0.63,0.67,0.59
ipromoter_hs_notata,rc_multiscale_biophysical_seed3,0.6187100799999999,0.6254472419284856,0.18560291027644987,0.5928,0.5928,0.5956,0.59
ipromoter_hs_tata,dnashaper_shape4__histgb,0.851248,0.8429977014921486,0.5460130446096849,0.77,0.77,0.844,0.696
ipromoter_mm_notata,rc_multiscale_biophysical_position_seed4,0.7463938400000001,0.7617358722234543,0.36901084575291415,0.678,0.6779999999999999,0.5464,0.8096
ipromoter_mm_tata,promoter_motif__scaled_logreg_l2_c1,0.840448,0.8435298669539821,0.5321064319306437,0.766,0.766,0.756,0.776
snnrice6ma_rice_chen,dnashaper_shape4__histgb;zcurve12__extratrees_300,0.8297397985537189,0.8332892990062436,0.4944334396165801,0.7471590909090909,0.7471590909090908,0.7363636363636363,0.7579545454545454
