benchmark_family,task_id,metric,mucff_value,strongest_reported_method,strongest_reported_value,comparison_level
GUE,gue_emp_H3,MCC,0.7643430177233882,DNABERT-2 with GUE-domain MLM,0.8017,same released test; study-specific training and selection
GUE,gue_human_tf_0,MCC,0.6836888759905564,DNABERT-2,0.7199,same released test; study-specific training and selection
GUE,gue_mouse_0,MCC,0.6328506703258854,HybriDNA-7B (echo),0.7291,same released test; study-specific training and selection
GUE,gue_prom_300_all,MCC,0.8770292250767459,SPACE,0.919,same released test; study-specific training and selection
GUE,gue_prom_core_all,MCC,0.6880878446677338,DNABERT 3-mer,0.7092,same released test; study-specific training and selection
iPromoter,ipromoter_hs_tata,AUC,0.957344,iPromoter-SeqVec,0.9891,same independent test; study-specific training and selection
iPromoter,ipromoter_hs_notata,AUC,0.90178432,iPromoter-SeqVec,0.8559,same independent test; study-specific training and selection
iPromoter,ipromoter_mm_tata,AUC,0.954992,iPromoter-SeqVec,0.9905,same independent test; study-specific training and selection
iPromoter,ipromoter_mm_notata,AUC,0.9004835200000001,iPromoter-SeqVec,0.9067,same independent test; study-specific training and selection
Rice 6mA,snnrice6ma_rice_chen,AUC,0.898722882231405,SNNRice6mA-feature,0.98,same sequence collection; study-specific folds and selection
iEnhancer (auxiliary),ienhancer_recognition,AUC,0.81585,CapsEnhancer,0.98,same released test with retained exact overlaps; contextual only
iEnhancer (auxiliary),ienhancer_strength,AUC,0.9995,CapsEnhancer,0.992,same released test with retained exact overlaps; contextual only
