task_id,method,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_emp_H3,source_self_attention,0.9544688598918264,0.9509300268981888,0.7617645697222611,0.8804275217100869,0.8801922493350708,0.9072847682119204,0.8530997304582211,0.4463441142439843
gue_emp_H3,anchor_query_qkv,0.95459024294461,0.9507848142908576,0.765064075167482,0.8824315297261189,0.8823066350118706,0.8966887417218543,0.8679245283018868,0.4716190171241761
gue_emp_H3,sparse_aligned_control,0.955241784330876,0.951704803825195,0.7866335907339573,0.8931195724782899,0.8929606754609878,0.9112582781456954,0.8746630727762803,0.4303330028057099
gue_emp_H3,mucff,0.9557487370807376,0.9528777505693168,0.7875763263555277,0.8937875751503006,0.8937389550347191,0.8993377483443709,0.8881401617250674,0.4908495913445951
gue_human_tf_0,source_self_attention,0.923516,0.90923430260939,0.6776998243081634,0.831,0.831,0.938,0.724,0.4863736428320408
gue_human_tf_0,anchor_query_qkv,0.923948,0.9095879490715254,0.6881866079362604,0.837,0.837,0.938,0.736,0.4925919401645661
gue_human_tf_0,sparse_aligned_control,0.923892,0.9096866078730428,0.6871618150347321,0.84,0.8400000000000001,0.912,0.768,0.5079689371585847
gue_human_tf_0,mucff,0.923996,0.9097714150340176,0.6861856127059405,0.839,0.839,0.916,0.762,0.4947865843772889
gue_mouse_0,source_self_attention,0.884517604023777,0.8995830972050007,0.6098431817073582,0.7925925925925926,0.7925925925925926,0.6518518518518519,0.9333333333333332,0.5372631728649141
gue_mouse_0,anchor_query_qkv,0.8842371589696694,0.899157879683088,0.6178457140585827,0.7987654320987654,0.7987654320987654,0.671604938271605,0.925925925925926,0.5186451491713524
gue_mouse_0,sparse_aligned_control,0.8993629019966469,0.9116703658186376,0.6624348904908103,0.8246913580246914,0.8246913580246914,0.725925925925926,0.9234567901234568,0.588956418633461
gue_mouse_0,mucff,0.8994238683127572,0.9115595742621868,0.6665347970843922,0.828395061728395,0.828395061728395,0.7432098765432099,0.9135802469135802,0.5579126328229905
gue_prom_300_all,source_self_attention,0.9866368762270008,0.9871902361993936,0.8817510836968747,0.9408783783783784,0.9408711135460897,0.9419463087248322,0.939795918367347,0.4908023774623877
gue_prom_300_all,anchor_query_qkv,0.9866655252705108,0.9872283609628408,0.8801077663660001,0.9400337837837838,0.9399933799022964,0.945973154362416,0.9340136054421768,0.4544098600745203
gue_prom_300_all,sparse_aligned_control,0.9868563667077572,0.9873834393327826,0.8788805035300586,0.9393581081081082,0.9392857142857144,0.95,0.9285714285714286,0.4573580771684654
gue_prom_300_all,mucff,0.986897456969365,0.9874153098237508,0.8789440097361544,0.9393581081081082,0.9392743003241564,0.9516778523489932,0.9268707482993196,0.459003128111364
gue_prom_core_all,source_self_attention,0.9256186928867268,0.9263778229131044,0.6997044922999074,0.8498310810810811,0.8498130921336168,0.8564690026954178,0.8431571815718157,0.4766421467065813
gue_prom_core_all,anchor_query_qkv,0.9255102073426396,0.9263455807795912,0.6948362127784321,0.8472972972972973,0.8472587454985062,0.8615229110512129,0.8329945799457995,0.4667936712503437
gue_prom_core_all,sparse_aligned_control,0.925203354754235,0.9260557408595942,0.6956204932305072,0.847804054054054,0.8477924418732058,0.852088948787062,0.8434959349593496,0.4609980620443822
gue_prom_core_all,mucff,0.9251652335846134,0.9259987850270854,0.6939161987933751,0.8469594594594595,0.8469565153872562,0.8480458221024259,0.8458672086720868,0.4753526747226716
ipromoter_hs_notata,source_self_attention,0.929328307111799,0.9331889037720592,0.6951612792002247,0.8475688191407255,0.847566594622393,0.8518899460015428,0.8432432432432433,0.5033956110477448
ipromoter_hs_notata,anchor_query_qkv,0.9294242778943216,0.9333340132385038,0.6992136802038598,0.8494983277591973,0.8495046418420036,0.8372332219079455,0.8617760617760618,0.5268077683448792
ipromoter_hs_notata,sparse_aligned_control,0.9304474257161324,0.9343286867656736,0.702138417362567,0.8509133007460766,0.8509208727516776,0.8362046798662895,0.8656370656370657,0.5079851400852206
ipromoter_hs_notata,mucff,0.9306475413443788,0.9345053929220062,0.7024698090994773,0.8510419346539748,0.8510503671213365,0.8346618668038056,0.8674388674388674,0.5076077747344973
ipromoter_hs_tata,source_self_attention,0.9878320880033208,0.9886331455311164,0.877447704841623,0.938496583143508,0.938532586135326,0.9227272727272728,0.954337899543379,0.5802321565151215
ipromoter_hs_tata,anchor_query_qkv,0.9880292652552928,0.988712102759672,0.8884368428327006,0.9441913439635536,0.9441780821917808,0.95,0.9383561643835616,0.4891621172428131
ipromoter_hs_tata,sparse_aligned_control,0.9878113325031134,0.9884554156935982,0.874717531350154,0.9373576309794988,0.9373599003735992,0.9363636363636364,0.9383561643835616,0.498056948184967
ipromoter_hs_tata,mucff,0.9885066417600664,0.9890200679301068,0.8793866228968332,0.9396355353075172,0.9396533831465338,0.9318181818181818,0.9474885844748858,0.501937608718872
ipromoter_mm_notata,source_self_attention,0.9527847581118276,0.954584359383367,0.7600983832667453,0.8780525742728262,0.8781079798912184,0.8272218769422002,0.9289940828402368,0.5659667575359344
ipromoter_mm_notata,anchor_query_qkv,0.9527439180768252,0.9545355921621672,0.7607621087299069,0.8789858453880852,0.8790321066548159,0.836544437538844,0.921519775770788,0.5385238027572634
ipromoter_mm_notata,sparse_aligned_control,0.9533947456488427,0.9549893827377676,0.7673863263512407,0.8836522009643801,0.8836598536068622,0.8766314481044126,0.8906882591093117,0.5130396294593812
ipromoter_mm_notata,mucff,0.9534932165863188,0.955062060469664,0.7694818765623206,0.8847410172655157,0.8847410499837511,0.884711000621504,0.8847710993459982,0.4975652223825454
