method,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
aligned_score_logistic_l2,0.9435262731613566,0.9446614485664954,0.7548019992876921,0.8759716812270109,0.8759765948783503,0.8749983152335628,0.8769548745231379
best_source,0.9315855643712588,0.9313301880033513,0.722088273142505,0.859629286183274,0.8596988388048116,0.8577961791358751,0.8616014984737481
choquet_integral,0.9332620277378814,0.9341505610902999,0.7220022126520533,0.8592265204139686,0.8592253110861325,0.8644288355825743,0.8540217865896909
correlation_pruned_weighted_pool,0.930265719054533,0.9309963783066179,0.7117871170507911,0.8540763667723992,0.8540599775897049,0.8515331322666485,0.8565868229127611
dempster_shafer_pool,0.8860361049260128,0.8539933048040315,0.7031657854072736,0.8502779517461475,0.850271072784972,0.8505068058809059,0.8500353396890384
family_best_weighted_pool,0.9301295336707774,0.9310931722898104,0.7148111012157531,0.8552513209681264,0.8552796135721741,0.8528536799157361,0.8577055472286119
majority_vote,0.905812925471753,0.8996694563743006,0.6724203201285701,0.8350337686745528,0.8350230325008144,0.8338535498826811,0.8361925151189478
mucff,0.9439500947453775,0.9450481109353739,0.75037161636274,0.8734854615045551,0.8735138279578388,0.8840836434266922,0.8629440124889856
oof_skill_linear_pool,0.9196592278671168,0.9192151444694954,0.6901161670416445,0.8439758894458775,0.8439616630632175,0.8535631622185628,0.8343601639078724
oof_skill_logarithmic_pool,0.9192555878360441,0.9193496817564697,0.6922769320632675,0.8443985213187505,0.844381455631663,0.8422362754325896,0.8465266358307362
probability_mean,0.9152580531560144,0.9144674983952052,0.6869871116068041,0.8419425030666499,0.8418979412138509,0.8383925560220072,0.8454033264056946
probability_median,0.9125264127962085,0.9121471048130649,0.6717541935066431,0.8334091729716417,0.8334004685563784,0.8247720332009226,0.8420289039118339
rank_mean,0.9085684473670348,0.9088396827421519,0.662106533729713,0.8305341924706464,0.830477954464573,0.8377471217424386,0.8232087871867071
raw_score_logistic_l2,0.9428460988103572,0.9447443698762884,0.7528115991243027,0.8748765086795609,0.874869599343219,0.8630310857460965,0.8867081129403414
reliability_attention,0.9206484908229058,0.9207051776899942,0.692517018495388,0.8454568016699511,0.8454287883300079,0.8575371792635289,0.8333203973964869
sparse_aligned_control,0.9437047744222296,0.9448023897789474,0.7492012911297364,0.872773805682366,0.8727888352117867,0.8831847002877453,0.8623929701358282
