task_id,method,n_sources,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_emp_H3,best_source,53,0.9542475143249852,0.9488827721720804,0.790230388489304,0.895123580494322,0.895098266721408,0.8980132450331125,0.8921832884097035,0.4858333742618561
gue_emp_H3,probability_mean,53,0.9403509398261368,0.935433183010276,0.754287631956666,0.8770875083500334,0.87714785526856,0.8701986754966887,0.8840970350404312,0.5237484187646418
gue_emp_H3,probability_median,53,0.9389951982292354,0.9348380442475236,0.7367396486795994,0.8677354709418837,0.8679691544242338,0.8410596026490066,0.894878706199461,0.5541472256183624
gue_emp_H3,rank_mean,53,0.934175577015762,0.9310943338350056,0.722331256421063,0.8610554442217769,0.8609173345709644,0.8768211920529801,0.8450134770889488,0.4850212663420211
gue_emp_H3,majority_vote,53,0.9282063868906304,0.9236024954673668,0.7430438375130991,0.8704074816299265,0.8707225861730423,0.8344370860927153,0.9070080862533692,0.6415094339622641
gue_emp_H3,oof_skill_linear_pool,53,0.9413112939790436,0.9366455261622698,0.7474907405954844,0.87374749498998,0.8737553774477428,0.8728476821192053,0.8746630727762803,0.5133839586110621
gue_emp_H3,oof_skill_logarithmic_pool,53,0.9447064493672016,0.9398632803479868,0.7509735533228985,0.8750835003340013,0.8752655254279645,0.8543046357615894,0.8962264150943396,0.5593733028725855
gue_emp_H3,dempster_shafer_pool,53,0.8930651005872798,0.8564553607348164,0.7501454880801395,0.8750835003340013,0.8750566751753807,0.8781456953642384,0.871967654986523,0.6336815513782718
gue_emp_H3,best_primitive_head,53,0.9138394530622443,0.901781715246438,0.6667721898110516,0.832999331997328,0.8327546812802342,0.8609271523178808,0.8045822102425876,0.4538115496933461
gue_emp_H3,best_standalone_source,53,0.924414059013584,0.9041636487108312,0.7094029724731705,0.8537074148296593,0.8533540993555988,0.8940397350993378,0.8126684636118598,0.55419921875
gue_emp_H3,reliability_attention,53,0.9442833937273524,0.9416870766513408,0.7556018388425418,0.8777555110220441,0.8776592706306563,0.8887417218543047,0.866576819407008,0.4509948754897777
gue_emp_H3,family_best_weighted_pool,53,0.946943110619232,0.9470951655274378,0.7692784421966394,0.884435537742151,0.8845602541903929,0.8701986754966887,0.898921832884097,0.5391037631740155
gue_emp_H3,correlation_pruned_weighted_pool,53,0.9488245479373808,0.947661650390888,0.7635887720198528,0.8817635270541082,0.8816791917316721,0.8913907284768212,0.871967654986523,0.4807360765477986
gue_emp_H3,choquet_integral,53,0.9477178201031756,0.9469953198425216,0.7555057723149777,0.8777555110220441,0.8777056817978972,0.8834437086092716,0.871967654986523,0.5167413400783398
gue_emp_H3,raw_score_logistic_l2,53,0.9560111386801378,0.9582182340770794,0.7877542644225656,0.8937875751503006,0.8938665857446315,0.8847682119205298,0.9029649595687332,0.5005223691463471
gue_emp_H3,aligned_score_logistic_l2,53,0.9561075311044072,0.9531109854591931,0.7876171037808405,0.8937875751503006,0.8937157494510987,0.9019867549668874,0.8854447439353099,0.4815841148793703
gue_emp_H3,sparse_aligned_control,53,0.955241784330876,0.951704803825195,0.7866335907339573,0.8931195724782899,0.8929606754609878,0.9112582781456954,0.8746630727762803,0.4303330028057099
gue_emp_H3,mucff,53,0.9563556523446564,0.9537166632825098,0.7840296742740012,0.8917835671342685,0.8916129665661092,0.9112582781456954,0.871967654986523,0.445847076177597
gue_human_tf_0,best_source,53,0.920524,0.9063299424669315,0.6992882000059332,0.846,0.8460000000000001,0.918,0.774,0.5356780290603638
gue_human_tf_0,probability_mean,53,0.921388,0.9048921372690124,0.694708596837951,0.839,0.839,0.948,0.73,0.4788888600142563
gue_human_tf_0,probability_median,53,0.919936,0.9041893138457944,0.6675472385900385,0.821,0.821,0.958,0.684,0.4681360989809036
gue_human_tf_0,rank_mean,53,0.920984,0.9085038945331354,0.6697382171152735,0.834,0.8340000000000001,0.87,0.798,0.4855530702066778
gue_human_tf_0,majority_vote,53,0.91292,0.8831947853135573,0.6782632742033441,0.832,0.8320000000000001,0.934,0.73,0.490566037735849
