task_id,stage,stage_label,sample_index,label,embedding_1,embedding_2
gue_mouse_0,source,Source scores,0,1,0.689709484577179,6.176605224609375
gue_mouse_0,source,Source scores,1,1,6.982259273529053,-10.908726692199707
gue_mouse_0,source,Source scores,2,0,11.310816764831543,-3.1335270404815674
gue_mouse_0,source,Source scores,3,0,11.30404281616211,-8.627508163452148
gue_mouse_0,source,Source scores,4,1,4.91401481628418,1.990838885307312
gue_mouse_0,source,Source scores,5,1,-14.341681480407715,14.357837677001953
gue_mouse_0,source,Source scores,6,0,16.11538314819336,-8.766510009765625
gue_mouse_0,source,Source scores,7,0,-11.468478202819824,17.894954681396484
gue_mouse_0,source,Source scores,8,0,12.14137077331543,-12.960783958435059
gue_mouse_0,source,Source scores,9,0,15.113316535949707,-13.524043083190918
gue_mouse_0,source,Source scores,10,1,-15.11614990234375,4.019222259521484
gue_mouse_0,source,Source scores,11,0,13.458078384399414,-12.093790054321289
gue_mouse_0,source,Source scores,12,0,15.696361541748047,-9.743045806884766
gue_mouse_0,source,Source scores,13,1,-18.660009384155273,5.9005818367004395
gue_mouse_0,source,Source scores,14,1,-10.396228790283203,6.78141450881958
gue_mouse_0,source,Source scores,15,0,19.272838592529297,1.5600693225860596
gue_mouse_0,source,Source scores,16,0,13.454939842224121,-8.185977935791016
gue_mouse_0,source,Source scores,17,0,19.12187385559082,-9.950510025024414
gue_mouse_0,source,Source scores,18,0,16.77656364440918,-11.817070960998535
gue_mouse_0,source,Source scores,19,0,15.417359352111816,-17.55231285095215
gue_mouse_0,source,Source scores,20,1,4.187751293182373,-10.986068725585938
gue_mouse_0,source,Source scores,21,0,10.862335205078125,-4.83538293838501
gue_mouse_0,source,Source scores,22,0,10.528294563293457,-19.560081481933594
gue_mouse_0,source,Source scores,23,0,4.193986892700195,-6.207805633544922
gue_mouse_0,source,Source scores,24,1,17.94141960144043,-8.709444999694824
gue_mouse_0,source,Source scores,25,1,-16.57208824157715,6.362922191619873
gue_mouse_0,source,Source scores,26,1,9.993030548095703,-1.4582897424697876
gue_mouse_0,source,Source scores,27,1,-16.807586669921875,1.0883922576904297
gue_mouse_0,source,Source scores,28,0,18.761646270751953,-5.596042633056641
gue_mouse_0,source,Source scores,29,0,21.45145034790039,-8.7268705368042
gue_mouse_0,source,Source scores,30,1,-19.211334228515625,8.738430976867676
gue_mouse_0,source,Source scores,31,0,11.255906105041504,-11.39828109741211
gue_mouse_0,source,Source scores,32,0,16.848129272460938,-8.058942794799805
gue_mouse_0,source,Source scores,33,1,-9.313817977905273,5.4171271324157715
gue_mouse_0,source,Source scores,34,0,3.866405487060547,-3.3573129177093506
gue_mouse_0,source,Source scores,35,1,0.5010672807693481,13.203875541687012
gue_mouse_0,source,Source scores,36,1,-7.257594585418701,7.499598026275635
gue_mouse_0,source,Source scores,37,1,9.16699504852295,-11.451231002807617
gue_mouse_0,source,Source scores,38,0,15.874484062194824,-15.114178657531738
gue_mouse_0,source,Source scores,39,1,-17.570995330810547,0.7030845284461975
gue_mouse_0,source,Source scores,40,0,2.7556045055389404,-9.746753692626953
gue_mouse_0,source,Source scores,41,0,7.246938705444336,-7.958256721496582
gue_mouse_0,source,Source scores,42,0,-12.543364524841309,-0.44323405623435974
gue_mouse_0,source,Source scores,43,1,-11.279989242553711,1.9341686964035034
gue_mouse_0,source,Source scores,44,1,8.160505294799805,-12.151131629943848
gue_mouse_0,source,Source scores,45,1,6.488470554351807,-17.330230712890625
gue_mouse_0,source,Source scores,46,0,13.32744026184082,0.4478028118610382
gue_mouse_0,source,Source scores,47,0,12.920697212219238,-8.86835765838623
gue_mouse_0,source,Source scores,48,1,1.1193965673446655,-12.226532936096191
gue_mouse_0,source,Source scores,49,0,11.23381233215332,-10.318965911865234
gue_mouse_0,source,Source scores,50,0,5.452455997467041,-10.55444049835205
gue_mouse_0,source,Source scores,51,0,8.172688484191895,-6.507379531860352
gue_mouse_0,source,Source scores,52,0,8.00331974029541,-3.2454192638397217
gue_mouse_0,source,Source scores,53,0,9.064706802368164,-1.8144952058792114
gue_mouse_0,source,Source scores,54,0,5.135291576385498,10.024807929992676
gue_mouse_0,source,Source scores,55,1,-3.6366920471191406,-3.445129632949829
gue_mouse_0,source,Source scores,56,0,13.355724334716797,-9.910741806030273
gue_mouse_0,source,Source scores,57,0,17.607711791992188,-10.1878080368042
gue_mouse_0,source,Source scores,58,1,-4.389806747436523,10.531853675842285
gue_mouse_0,source,Source scores,59,0,9.782713890075684,-8.720794677734375
gue_mouse_0,source,Source scores,60,0,19.285110473632812,-12.334397315979004
gue_mouse_0,source,Source scores,61,1,-6.110934734344482,15.710708618164062
gue_mouse_0,source,Source scores,62,0,16.498611450195312,-14.289999008178711
gue_mouse_0,source,Source scores,63,1,-14.185906410217285,14.449106216430664
gue_mouse_0,source,Source scores,64,1,-22.240070343017578,13.191488265991211
gue_mouse_0,source,Source scores,65,0,12.725422859191895,-7.070925712585449
gue_mouse_0,source,Source scores,66,1,-15.519963264465332,9.468151092529297
gue_mouse_0,source,Source scores,67,1,-9.60368824005127,6.370131492614746
gue_mouse_0,source,Source scores,68,0,9.208253860473633,-11.757766723632812
gue_mouse_0,source,Source scores,69,0,-14.404693603515625,-0.2841794192790985
gue_mouse_0,source,Source scores,70,1,-9.522130012512207,8.132357597351074
