task_id,n_sources,comparison_level,method,method_display,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_emp_H3,53,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.955241784330876,0.951704803825195,0.7866335907339573,0.8931195724782899,0.8929606754609878,0.9112582781456954,0.8746630727762803,0.4303330028057099
gue_human_tf_0,53,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.923892,0.9096866078730428,0.6871618150347321,0.84,0.8400000000000001,0.912,0.768,0.5079689371585847
gue_mouse_0,49,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.8993629019966469,0.9116703658186376,0.6624348904908103,0.8246913580246914,0.8246913580246914,0.725925925925926,0.9234567901234568,0.588956418633461
gue_prom_300_all,53,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.9868563667077572,0.9873834393327826,0.8788805035300586,0.9393581081081082,0.9392857142857144,0.95,0.9285714285714286,0.4573580771684654
gue_prom_core_all,53,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.925203354754235,0.9260557408595942,0.6956204932305072,0.847804054054054,0.8477924418732058,0.852088948787062,0.8434959349593496,0.4609980620443822
ipromoter_hs_notata,53,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.9304474257161324,0.9343286867656736,0.702138417362567,0.8509133007460766,0.8509208727516776,0.8362046798662895,0.8656370656370657,0.5079851400852206
ipromoter_hs_tata,53,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.9878113325031134,0.9884554156935982,0.874717531350154,0.9373576309794988,0.9373599003735992,0.9363636363636364,0.9383561643835616,0.498056948184967
ipromoter_mm_notata,53,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.9533947456488427,0.9549893827377676,0.7673863263512407,0.8836522009643801,0.8836598536068622,0.8766314481044126,0.8906882591093117,0.5130396294593812
ipromoter_mm_tata,53,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.9902969348659004,0.9911382020103024,0.8971402225708527,0.948577680525164,0.948515325670498,0.9525862068965516,0.9444444444444444,0.4376164379715921
snnrice6ma_rice_chen,53,Matched baseline,sparse_aligned_control,Sparse aligned-evidence decision,0.8845408976987924,0.89261125287288,0.5398991206424848,0.7622641509433963,0.7627022100706311,0.8787878787878788,0.6466165413533834,0.3516634047031403
gue_emp_H3,53,Residual-state ablation,compact_residual,Compact residual summaries,0.9557487370807376,0.9528777505693168,0.7875763263555277,0.8937875751503006,0.8937389550347191,0.8993377483443709,0.8881401617250674,0.4908495913445951
gue_human_tf_0,53,Residual-state ablation,compact_residual,Compact residual summaries,0.923996,0.9097714150340176,0.6861856127059405,0.839,0.839,0.916,0.762,0.4947865843772889
gue_mouse_0,49,Residual-state ablation,compact_residual,Compact residual summaries,0.8994238683127572,0.9115595742621868,0.6665347970843922,0.828395061728395,0.828395061728395,0.7432098765432099,0.9135802469135802,0.5579126328229905
gue_prom_300_all,53,Residual-state ablation,compact_residual,Compact residual summaries,0.986897456969365,0.9874153098237508,0.8789440097361544,0.9393581081081082,0.9392743003241564,0.9516778523489932,0.9268707482993196,0.459003128111364
gue_prom_core_all,53,Residual-state ablation,compact_residual,Compact residual summaries,0.9251652335846134,0.9259987850270854,0.6939161987933751,0.8469594594594595,0.8469565153872562,0.8480458221024259,0.8458672086720868,0.4753526747226716
ipromoter_hs_notata,53,Residual-state ablation,compact_residual,Compact residual summaries,0.9306475413443788,0.9345053929220062,0.7024698090994773,0.8510419346539748,0.8510503671213365,0.8346618668038056,0.8674388674388674,0.5076077747344973
ipromoter_hs_tata,53,Residual-state ablation,compact_residual,Compact residual summaries,0.9885066417600664,0.9890200679301068,0.8793866228968332,0.9396355353075172,0.9396533831465338,0.9318181818181818,0.9474885844748858,0.501937608718872
ipromoter_mm_notata,53,Residual-state ablation,compact_residual,Compact residual summaries,0.9534932165863188,0.955062060469664,0.7694818765623206,0.8847410172655157,0.8847410499837511,0.884711000621504,0.8847710993459982,0.4975652223825454
ipromoter_mm_tata,53,Residual-state ablation,compact_residual,Compact residual summaries,0.9909674329501916,0.9915540887588336,0.8993217897508938,0.949671772428884,0.9496264367816092,0.9525862068965516,0.9466666666666668,0.4588098967075348
snnrice6ma_rice_chen,53,Residual-state ablation,compact_residual,Compact residual summaries,0.8846548188653452,0.8927166645567698,0.5398991206424848,0.7622641509433963,0.7627022100706311,0.8787878787878788,0.6466165413533834,0.3509066104888916
gue_emp_H3,53,Complete method,mucff,MuCFF,0.9563556523446564,0.9537166632825098,0.7840296742740012,0.8917835671342685,0.8916129665661092,0.9112582781456954,0.871967654986523,0.445847076177597
gue_human_tf_0,53,Complete method,mucff,MuCFF,0.924844,0.9107212616105204,0.6813004132652556,0.837,0.837,0.91,0.764,0.504242742061615
gue_mouse_0,49,Complete method,mucff,MuCFF,0.899887212315196,0.91186455678107,0.6681594761638154,0.8271604938271605,0.8271604938271605,0.725925925925926,0.928395061728395,0.5933399403095245
gue_prom_300_all,53,Complete method,mucff,MuCFF,0.98688364607588,0.9874685854892672,0.8821237519075613,0.9410472972972972,0.9410115052732502,0.9463087248322148,0.9357142857142856,0.4879219532012941
gue_prom_core_all,53,Complete method,mucff,MuCFF,0.9253623451413084,0.9261821403128456,0.6973204268431378,0.8486486486486486,0.8486575869801825,0.8453504043126685,0.8519647696476965,0.4744143411517145
ipromoter_hs_notata,53,Complete method,mucff,MuCFF,0.93052006567049,0.9343852870573272,0.7053540665203895,0.852328273732956,0.8523396187577211,0.8302905631267679,0.8743886743886744,0.51530058324337
ipromoter_hs_tata,53,Complete method,mucff,MuCFF,0.9889373183893732,0.9894903944463104,0.8955569831157743,0.9476082004555808,0.9476390618513906,0.9340909090909092,0.9611872146118722,0.5031037050485611
ipromoter_mm_notata,53,Complete method,mucff,MuCFF,0.953590913305122,0.9553579100141768,0.7692163569711357,0.8845854720796391,0.8845910935045183,0.8794282162834058,0.8897539707256307,0.5089743459224702
ipromoter_mm_tata,53,Complete method,mucff,MuCFF,0.991551724137931,0.9921368844760826,0.9058913400284436,0.9529540481400438,0.9529597701149426,0.9525862068965516,0.9533333333333334,0.464850671291353
snnrice6ma_rice_chen,53,Complete method,mucff,MuCFF,0.8855092276144907,0.8968640306097969,0.5259930237408523,0.7584905660377359,0.7588288904078377,0.8484848484848485,0.6691729323308271,0.3918277028203011
