scenario,mode,tasks,replicates_per_task,mean_affected_sources,mean_auc,mean_auprc,mean_mcc,mean_accuracy,mean_delta_auc,mean_delta_auprc,mean_delta_mcc,mean_delta_accuracy,positive_or_tied_auc_tasks
complete_sources,deployment_shift,10,1.0,0.0,0.9443442104994448,0.9458187714079906,0.7514945512830367,0.8741606567353329,0.0,0.0,0.0,0.0,10
score_noise_sd_0.05,deployment_shift,10,20.0,0.0,0.9428855909757308,0.944020200904076,0.75231852159087,0.8747814790092081,-0.0014586195237138817,-0.0017985705039146216,0.0008239703078332883,0.0006208222738750853,0
missing_group:foundation_evidence,deployment_shift,10,1.0,23.0,0.9419838958325972,0.9433492210285545,0.74238698590892,0.8686789842796007,-0.00236031466684756,-0.0024695503794362303,-0.00910756537411658,-0.00548167245573246,4
missing_strongest_source,deployment_shift,10,1.0,1.0,0.941259444770892,0.9433294411657936,0.7380572240939005,0.8661772245081376,-0.0030847657285529,-0.002489330242197,-0.01343732718913605,-0.00798343222719529,1
missing_group:engineered_descriptors,deployment_shift,10,1.0,21.6,0.9411462582559793,0.9423065679532655,0.7464828138356531,0.8719955394511215,-0.00319795224346544,-0.00351220345472514,-0.00501173744738359,-0.00216511728421144,0
random_missing_20pct,deployment_shift,10,20.0,10.9,0.9407933344903142,0.9421610286032329,0.7388061301873348,0.8665959623560902,-0.003550876009130393,-0.0036577428047576874,-0.012688421095701941,-0.007564694379242866,0
missing_group:derived_evidence,deployment_shift,10,1.0,3.0,0.9399580272609989,0.9416915604254456,0.734536700550543,0.8629019483810241,-0.00438618323844581,-0.00412721098254501,-0.01695785073249366,-0.01125870835430883,0
random_missing_40pct,deployment_shift,10,20.0,20.9,0.9320257928870654,0.9330959546097273,0.711849578274125,0.8508528235607971,-0.012318417612379246,-0.012722816798263478,-0.03964497300891164,-0.023307833174535945,0
missing_group:sequence_grammar,deployment_shift,10,1.0,5.0,0.927729780288065,0.9292332509893221,0.7046145747967963,0.8486345745399981,-0.0166144302113798,-0.01658552041866852,-0.0468799764862403,-0.025526082195334792,0
conflicting_strongest_source,deployment_shift,10,1.0,1.0,0.7620281256771413,0.7736800110951192,0.41342004012708927,0.7032146024754173,-0.18231608482230338,-0.17213876031287148,-0.33807451115594733,-0.17094605425991577,0
refit_without_group:engineered_descriptors,source_ablation,10,1.0,21.6,0.9432736479013635,0.9442307273130469,0.750432297568118,0.8735406085938562,-0.0010705625980811802,-0.0015880440949436899,-0.0010622537149185599,-0.0006200481414768699,1
refit_without_group:derived_evidence,source_ablation,10,1.0,3.0,0.9428294907399255,0.9447213479715998,0.7530358018323743,0.8750749082412452,-0.00151471975951919,-0.00109742343639091,0.0015412505493376898,0.0009142515059121401,0
refit_without_group:foundation_evidence,source_ablation,10,1.0,23.0,0.9426180138114022,0.9440734041315688,0.7545831300987776,0.8754868830724174,-0.0017261966880426694,-0.0017453672764219399,0.0030885788157410414,0.0013262263370843804,3
refit_without_group:sequence_grammar,source_ablation,10,1.0,5.0,0.9346601571713722,0.9353758793985276,0.7230678775619133,0.8598392312799599,-0.00968405332807253,-0.01044289200946312,-0.02842667372112333,-0.01432142545537313,0
