analysis_group,task_id,method,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,mean_oof_threshold,n_test
primary,gue_emp_H3,aligned_logistic_l2,0.9529747773156494,0.9501128623010037,0.7609704787933551,0.8784235136940548,0.8779502329483586,0.9324503311258279,0.8234501347708895,0.3979842901229858,1497
primary,gue_emp_H3,mucff,0.9527730672426411,0.9505128496127592,0.7643430177233882,0.8817635270541082,0.8815399582299495,0.9072847682119205,0.8557951482479784,0.4822497115710033,1497
primary,gue_human_tf_0,aligned_logistic_l2,0.924312,0.9116903354250115,0.6845496140287646,0.839,0.839,0.908,0.77,0.508888768553734,1000
primary,gue_human_tf_0,mucff,0.9250160000000001,0.9124622219906494,0.6836888759905564,0.833,0.833,0.946,0.72,0.4336138197678382,1000
primary,gue_mouse_0,aligned_logistic_l2,0.8965645480871819,0.9075688127801048,0.6523598351221287,0.8197530864197531,0.8197530864197531,0.7209876543209877,0.9185185185185185,0.5510824829339983,810
primary,gue_mouse_0,mucff,0.8980765127267185,0.9090587799015922,0.6328506703258854,0.8074074074074075,0.8074074074074074,0.6888888888888889,0.9259259259259259,0.5594774152346204,810
primary,gue_prom_300_all,aligned_logistic_l2,0.9854813267588914,0.9860323025800299,0.876687981464363,0.9383445945945946,0.9383497694379765,0.9375838926174497,0.9391156462585034,0.4976660713553433,5920
primary,gue_prom_300_all,mucff,0.9857148564123636,0.9862809753763404,0.8770292250767459,0.9385135135135135,0.9385221202574989,0.937248322147651,0.939795918367347,0.49747318992655154,5920
primary,gue_prom_core_all,aligned_logistic_l2,0.9232782356883542,0.9240768372125512,0.6891313999142133,0.8442567567567567,0.8443113171023894,0.8241239892183289,0.8644986449864499,0.5068283438682558,5920
primary,gue_prom_core_all,mucff,0.9231077176422035,0.9239018427883651,0.6880878446677338,0.84375,0.8438031870210885,0.8241239892183289,0.8634823848238482,0.5056735073891987,5920
primary,ipromoter_hs_tata,aligned_logistic_l2,0.954032,0.9656209078667747,0.7480564880520522,0.872,0.872,0.924,0.82,0.5777280282974242,500
primary,ipromoter_hs_tata,mucff,0.9573440000000001,0.9691402248466354,0.7303809073063449,0.86,0.86,0.944,0.776,0.5083999997058694,500
primary,ipromoter_hs_notata,aligned_logistic_l2,0.87964848,0.8867237846036435,0.38864813699748063,0.6544,0.6544,0.958,0.3508,0.5394577527046204,5000
primary,ipromoter_hs_notata,mucff,0.90178432,0.916681108205149,0.46688009572562855,0.7056,0.7056,0.9424,0.4688,0.5064476056657118,5000
primary,ipromoter_mm_tata,aligned_logistic_l2,0.954032,0.966505873170322,0.6893711141230373,0.838,0.8380000000000001,0.936,0.74,0.3841880691051491,500
primary,ipromoter_mm_tata,mucff,0.954992,0.9673912939946401,0.696417806248397,0.842,0.8420000000000001,0.936,0.748,0.4060250017668883,500
primary,ipromoter_mm_notata,aligned_logistic_l2,0.8764532800000001,0.8886165486461772,0.4128238783854407,0.6714,0.6714,0.95,0.3928,0.538564965724945,5000
primary,ipromoter_mm_notata,mucff,0.9004835200000001,0.9189235226585182,0.5145409002547621,0.7386,0.7385999999999999,0.9256,0.5516,0.53612147475106,5000
primary,snnrice6ma_rice_chen,aligned_logistic_l2,0.8994925103305784,0.9014774584833629,0.630407318156422,0.8147727272727273,0.8147727272727273,0.8409090909090909,0.7886363636363637,0.46670994824171075,1760
primary,snnrice6ma_rice_chen,mucff,0.898722882231405,0.9005851576342687,0.6099990216107299,0.8045454545454546,0.8045454545454545,0.8318181818181818,0.7772727272727272,0.46687542834728973,1760
auxiliary,ienhancer_recognition,aligned_logistic_l2,0.8022750000000001,0.7911308425266814,0.405248290640327,0.7025,0.7025,0.685,0.72,0.46948421537876134,400
auxiliary,ienhancer_recognition,mucff,0.81585,0.7969067020414323,0.4623173950192375,0.73,0.73,0.78,0.68,0.41630538180445853,400
auxiliary,ienhancer_strength,aligned_logistic_l2,0.9999,0.9999009900990099,0.5155800469472481,0.71,0.71,1.0,0.42,0.5190102580189705,200
auxiliary,ienhancer_strength,mucff,0.9994999999999999,0.9995008706512909,0.5078007830046403,0.705,0.705,1.0,0.41,0.5276614792490008,200
