source,source_family,task_coverage,mean_oof_auc,mean_test_auc
aligned_score_anchor,derived_anchor,12,0.9095895882365673,0.9157569035261961
cross_foundation__anchor_residual,foundation_residual,12,0.8069836375198035,0.823949628880354
rc_multiscale_biophysical_position_seed4,sequence_grammar_position,12,0.7919665091474287,0.8204087856247213
dnabert1_6mer_mean__linear,foundation_db1,12,0.785212726426986,0.7136376006352622
dnashaper_shape4__histgb,dna_shape,12,0.7831807433234235,0.8334477502864287
rc_multiscale_biophysical_seed3,sequence_grammar_biophysical,12,0.7825607061919994,0.7951212955615435
local_cross_db1_nt,preclassifier_local,12,0.7733929590396742,0.7779947902689813
rc_multiscale_seed2,sequence_grammar_rc,12,0.7732484196403876,0.7629732487009706
local_cross_db1_nt_mean,preclassifier_local,12,0.7727230354400129,0.7808599273130937
rc_multiscale_seed1,sequence_grammar_rc,12,0.7721072720714631,0.7568377602508559
dnashaper_all5__logreg_c03,dna_shape,12,0.7693340334486867,0.794245863599888
rc_multiscale_seed0,sequence_grammar_rc,12,0.7679711830265288,0.7546381764225741
local_cross_db1,preclassifier_local,12,0.7623293607160444,0.7771938896516629
dnashaper_shape4__logreg_c1,dna_shape,12,0.7616475706660214,0.7821290139173483
nt_500m_human_ref_cls__linear,foundation_nt,12,0.7614020229223764,0.7433019526155022
local_cross_nt,preclassifier_local,12,0.7595915312202149,0.7701640033181608
local_cross,preclassifier_local,12,0.753200170628307,0.7629033693301173
cross_foundation__attention_interaction,foundation_cross,12,0.7527010103259563,0.766858412912853
basicpos__scaled_logreg_l2_c1,motif_position,12,0.7493428650129986,0.7887485291307036
nt_500m_human_ref_mean__linear,foundation_nt,12,0.7479969474115564,0.7000334070387169
cksnap5__scaled_logreg_l2_c1,physicochemical,12,0.7426557797889303,0.7310018055951901
dnabert2__scaled_logreg_l2_c03,foundation_db2,12,0.7419241149864534,0.747711083489592
dnabert2__scaled_logreg_l2_c1,foundation_db2,12,0.7388624216979922,0.748150982327558
zcurve12__extratrees_300,physicochemical,12,0.7374955519978332,0.8051581103481759
dinuc_auto__scaled_logreg_l2_c1,physicochemical,12,0.7350977600452137,0.7178644445266861
dnabert1_6mer__pool_interaction,foundation_db1,12,0.7343711848422293,0.7415727187327436
basicpos__extratrees_300,motif_position,12,0.7335539090827425,0.7936513405511945
nt_500m_human_ref__pool_interaction,foundation_nt,12,0.7271935650079344,0.7469602895809088
dnashaper_ep__logreg_c1,dna_shape,12,0.723733099715108,0.7423027883105329
fcgr4__scaled_logreg_l2_c1,composition,12,0.7178442908567292,0.7548377810104627
dnabert2__pool_interaction,foundation_db2,12,0.7136560075077577,0.7436875489378808
kmer46__logreg_l2_c1,composition,12,0.7073123265437468,0.7161549578936316
kmer46__logreg_l2_c03,composition,12,0.6996981291245811,0.7074143886809766
dnabert1_6mer_cls__linear,foundation_db1,12,0.6972828738696432,0.6837858449057655
dinuc_auto__extratrees_300,physicochemical,12,0.6925886423248045,0.7194070841589291
zcurve12__scaled_logreg_l2_c1,physicochemical,12,0.6855186491827127,0.7216730013490845
kmer13__logreg_l2_c1,composition,12,0.6844888841411203,0.6754513404421587
kmer13__logreg_l2_c03,composition,12,0.6709964917517838,0.6613483717392945
cksnap5__extratrees_300,physicochemical,12,0.5958915315797606,0.6485865064620838
fcgr4__extratrees_300,composition,12,0.5750034013833291,0.6247505785478334
eiip_auto__extratrees_300,physicochemical,11,0.6859231561912063,0.6879889831606298
eiip_auto__scaled_logreg_l2_c1,physicochemical,11,0.6816263815163731,0.6305686778598747
promoter_motif__scaled_logreg_l2_c1,motif_position,8,0.7285552941389696,0.7820503402918917
promoter_motif__extratrees_300,motif_position,8,0.7196281881049233,0.8158317963462289
center_context__scaled_logreg_l2_c1,motif_position,3,0.7396948916806371,0.7474095104091721
center_context__extratrees_300,motif_position,3,0.7389577254067783,0.7486509487267247
