task_id,n_sources,comparison_level,method,method_display,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,threshold
gue_emp_H3,53,Source control,best_primitive_head,Best primitive feature head,0.9138394530622443,0.901781715246438,0.6667721898110516,0.832999331997328,0.8327546812802342,0.8609271523178808,0.8045822102425876,0.4538115496933461
gue_human_tf_0,53,Source control,best_primitive_head,Best primitive feature head,0.913124,0.8993856342582089,0.6661342411738336,0.827,0.827,0.922,0.732,0.490538779348135
gue_mouse_0,49,Source control,best_primitive_head,Best primitive feature head,0.8215881725346748,0.8372509454118128,0.499251393762025,0.7481481481481481,0.7481481481481482,0.6938271604938272,0.8024691358024691,0.5006097960472107
gue_prom_300_all,53,Source control,best_primitive_head,Best primitive feature head,0.9560209788613432,0.9542660607922122,0.7830977237392386,0.8915540540540541,0.8915376889010638,0.8939597315436242,0.8891156462585034,0.476666659116745
gue_prom_core_all,53,Source control,best_primitive_head,Best primitive feature head,0.8855687518718178,0.8866900805584754,0.6018013488050558,0.8003378378378379,0.8004167305824001,0.7712264150943396,0.8296070460704607,0.5291914939880371
ipromoter_hs_notata,53,Source control,best_primitive_head,Best primitive feature head,0.8229628298540616,0.8181615372190737,0.4837354388948354,0.7418317468484693,0.7418359806377292,0.7336076112111083,0.75006435006435,0.5062251925468445
ipromoter_hs_tata,53,Source control,best_primitive_head,Best primitive feature head,0.9323941469489416,0.9411905497865724,0.7139121545401864,0.856492027334852,0.8565483603154835,0.8318181818181818,0.8812785388127854,0.4775197112560272
ipromoter_mm_notata,53,Source control,best_primitive_head,Best primitive feature head,0.8775520908839816,0.8766809457095059,0.5934048450320372,0.7967024420594183,0.796701015523278,0.798011187072716,0.79539084397384,0.494756817817688
ipromoter_mm_tata,53,Source control,best_primitive_head,Best primitive feature head,0.9451819923371646,0.952386162755278,0.7540229479724481,0.87527352297593,0.8759482758620689,0.8318965517241379,0.92,0.525884485244751
snnrice6ma_rice_chen,53,Source control,best_primitive_head,Best primitive feature head,0.8235930735930735,0.820351401294613,0.4796535601758807,0.7396226415094339,0.7396901344269765,0.7575757575757576,0.7218045112781954,0.4888369530439377
