task_id,primitive_oof_selected_source_id,primitive_oof_selected_test_auc,standalone_oof_selected_source_id,standalone_oof_selected_family,standalone_oof_selected_oof_auc,standalone_oof_selected_test_auc,any_channel_oof_selected_source_id,any_channel_oof_selected_test_auc,framework_auc,framework_auprc,framework_mcc,framework_accuracy,framework_minus_primitive_auc,framework_minus_standalone_auc,framework_minus_any_channel_auc
gue_emp_H3,P03,0.9138394530622443,E01,Position-aware biophysical grammar,0.9160024285076718,0.924414059013584,D01,0.9542475143249852,0.9557487370807376,0.9528777505693168,0.7875763263555277,0.8937875751503006,0.0419092840184933,0.0313346780671536,0.0015012227557523
gue_human_tf_0,P03,0.913124,P03,DNABERT-1,0.8774743659063993,0.913124,D01,0.920524,0.923996,0.9097714150340176,0.6861856127059405,0.839,0.010872,0.010872,0.003472
gue_mouse_0,P18,0.8215881725346748,E02,RC biophysical grammar,0.8538534089389233,0.8828562719097699,D01,0.8690504496265813,0.8994238683127572,0.9115595742621868,0.6665347970843922,0.828395061728395,0.0778356957780825,0.0165675964029873,0.0303734186861759
gue_prom_300_all,P08,0.9560209788613432,E01,Position-aware biophysical grammar,0.9764317480967024,0.9795311144592064,D01,0.9812320230105466,0.986897456969365,0.9874153098237508,0.8789440097361544,0.9393581081081082,0.0308764781080219,0.0073663425101586,0.0056654339588184
gue_prom_core_all,P03,0.8855687518718178,E04,RC motif grammar,0.9113490637839144,0.91907714583379,D01,0.9121454845360448,0.9251652335846134,0.9259987850270854,0.6939161987933751,0.8469594594594595,0.0395964817127956,0.0060880877508234,0.0130197490485686
ipromoter_hs_notata,P07,0.8229628298540616,E01,Position-aware biophysical grammar,0.8741325814063416,0.8962390043130594,D01,0.8989294624676472,0.9306475413443788,0.9345053929220062,0.7024698090994773,0.8510419346539748,0.107684711490317,0.0344085370313193,0.0317180788767315
ipromoter_hs_tata,P01,0.9323941469489416,E01,Position-aware biophysical grammar,0.9761231906263266,0.9807129514321296,E01,0.9807129514321296,0.9885066417600664,0.9890200679301068,0.8793866228968332,0.9396355353075172,0.0561124948111248,0.0077936903279368,0.0077936903279368
ipromoter_mm_notata,P07,0.8775520908839816,E01,Position-aware biophysical grammar,0.9076353421831322,0.9328959030089816,D01,0.9309694050071432,0.9534932165863188,0.955062060469664,0.7694818765623206,0.8847410172655157,0.0759411257023372,0.0205973135773372,0.0225238115791756
ipromoter_mm_tata,P01,0.9451819923371646,E01,Position-aware biophysical grammar,0.9723179185421748,0.9855220306513408,D01,0.981111111111111,0.9909674329501916,0.9915540887588336,0.8993217897508938,0.949671772428884,0.0457854406130269,0.0054454022988507,0.0098563218390804
snnrice6ma_rice_chen,P01,0.8235930735930735,P01,DNA shape,0.8379220983756774,0.8235930735930735,D01,0.8869332421964001,0.8846548188653452,0.8927166645567698,0.5398991206424848,0.7622641509433963,0.0610617452722717,0.0610617452722717,-0.0022784233310548
