analysis_group,task_id,condition,auc,auprc,mcc,accuracy,balanced_accuracy,sensitivity,specificity
primary,gue_emp_H3,complete,0.9527730672426411,0.9505128496127592,0.7643430177233882,0.8817635270541082,0.8815399582299495,0.9072847682119205,0.8557951482479784
primary,gue_emp_H3,without_engineered,0.951769872012281,0.9495423478639634,0.7475198017949674,0.8717434869739479,0.8712697024330163,0.9258278145695364,0.816711590296496
primary,gue_emp_H3,without_foundation,0.9525856375287839,0.9501757859560971,0.7606915324232953,0.8790915163660654,0.8787169097302797,0.9218543046357616,0.8355795148247979
primary,gue_emp_H3,without_local_derived,0.9503329108727084,0.946335466378369,0.7631543714064306,0.8810955243820975,0.8808545009907,0.9086092715231788,0.8530997304582211
primary,gue_emp_H3,without_sequence_grammar,0.9515378161760768,0.9491001467498831,0.7604770885843368,0.8797595190380761,0.8795183948876314,0.9072847682119205,0.8517520215633423
primary,gue_emp_H3,without_strongest,0.9527802074222167,0.9505313844138005,0.7605522915628142,0.8784235136940548,0.8779734385319791,0.9298013245033112,0.8261455525606469
primary,gue_human_tf_0,complete,0.9250160000000001,0.9124622219906494,0.6836888759905564,0.833,0.833,0.946,0.72
primary,gue_human_tf_0,without_engineered,0.923912,0.9115535066868371,0.6865053188855716,0.837,0.837,0.932,0.742
primary,gue_human_tf_0,without_foundation,0.924548,0.9102867207189287,0.6754763969996789,0.829,0.829,0.942,0.716
primary,gue_human_tf_0,without_local_derived,0.924184,0.9128674954111905,0.6876300609840731,0.836,0.836,0.942,0.73
primary,gue_human_tf_0,without_sequence_grammar,0.9229680000000001,0.910998871695732,0.6765097877006553,0.831,0.831,0.934,0.728
primary,gue_human_tf_0,without_strongest,0.92516,0.9128292128334218,0.6836728640626626,0.836,0.8360000000000001,0.928,0.744
primary,gue_mouse_0,complete,0.8980765127267185,0.9090587799015922,0.6328506703258854,0.8074074074074075,0.8074074074074074,0.6888888888888889,0.9259259259259259
primary,gue_mouse_0,without_engineered,0.8914250876390793,0.902100809515864,0.6451331009799317,0.8160493827160494,0.8160493827160493,0.7160493827160493,0.9160493827160494
primary,gue_mouse_0,without_foundation,0.897802164304222,0.9096456144077527,0.6090324633021561,0.7851851851851852,0.7851851851851852,0.6098765432098765,0.9604938271604938
primary,gue_mouse_0,without_local_derived,0.8965523548239598,0.9082120868494387,0.6420417288957438,0.8160493827160494,0.8160493827160493,0.7283950617283951,0.9037037037037037
primary,gue_mouse_0,without_sequence_grammar,0.8669288218259412,0.8709804859249108,0.5732115042211108,0.7839506172839507,0.7839506172839505,0.7160493827160493,0.8518518518518519
primary,gue_mouse_0,without_strongest,0.8973266270385613,0.9087285745806657,0.6382703657629987,0.808641975308642,0.808641975308642,0.6814814814814815,0.9358024691358025
primary,gue_prom_300_all,complete,0.9857148564123636,0.9862809753763404,0.8770292250767459,0.9385135135135135,0.9385221202574989,0.937248322147651,0.939795918367347
primary,gue_prom_300_all,without_engineered,0.9853269529288226,0.9858539938093759,0.8734505587303784,0.9366554054054054,0.9365874537734558,0.9466442953020134,0.926530612244898
primary,gue_prom_300_all,without_foundation,0.9854226589964845,0.9859831846675318,0.8713285513854594,0.9356418918918918,0.9355990047025522,0.9419463087248322,0.9292517006802721
primary,gue_prom_300_all,without_local_derived,0.9821398895128521,0.9823077095683572,0.8597937232827566,0.9298986486486487,0.9299011550929097,0.9295302013422819,0.9302721088435374
primary,gue_prom_300_all,without_sequence_grammar,0.9830700132401955,0.983547225239764,0.8574776424473055,0.9287162162162163,0.928671871433137,0.9352348993288591,0.922108843537415
primary,gue_prom_300_all,without_strongest,0.9848043646988998,0.9850534658998579,0.8692743366378416,0.9346283783783784,0.9345968588777793,0.939261744966443,0.9299319727891157
